#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.3	0.6	0.0338471	3	1.46381	4	
0.302	0.6	0.0297915	3	1.46119	4	
0.304	0.6	0.0208011	3	1.44393	4	
0.306	0.6	0.0118169	3	1.44153	4	
0.308	0.6	0.00283918	3	1.43916	4	
0.31	0.6	0.00613193	3	1.43683	4	
0.312	0.6	0.0150963	3	1.43453	4	
0.314	0.6	0.0240536	3	1.4177	4	
0.316	0.6	0.0330039	3	1.41564	4	
0.318	0.6	0.0419468	3	1.41361	4	
0.32	0.6	0.0508823	3	1.41162	4	
0.322	0.6	0.05981	3	1.39514	4	
0.324	0.6	0.0687298	3	1.3934	4	
0.326	0.6	0.0776415	3	1.3917	4	
0.328	0.6	0.0865449	3	1.39004	4	
0.33	0.6	0.0954397	3	1.374	4	
0.332	0.6	0.104326	3	1.3726	4	
0.334	0.6	0.113203	3	1.37125	4	
0.336	0.6	0.12207	3	1.36994	4	
0.338	0.6	0.130928	3	1.35444	4	
0.34	0.6	0.139777	3	1.35342	4	
0.342	0.6	0.148615	3	1.35243	4	
0.344	0.6	0.157443	3	1.33733	4	
0.346	0.6	0.16626	3	1.33664	4	
0.348	0.6	0.175066	3	1.336	4	
0.35	0.6	0.18386	3	1.32136	4	
0.352	0.6	0.192644	3	1.32103	4	
0.354	0.6	0.201415	3	1.32074	4	
0.356	0.6	0.208458	2	1.30665	4	
0.358	0.6	0.213506	3	1.30669	4	
0.36	0.6	0.218443	3	1.29291	4	
0.362	0.6	0.223265	3	1.29329	4	
0.364	0.6	0.227967	3	1.29371	4	
0.366	0.6	0.232546	3	1.2806	4	
0.368	0.6	0.236998	3	1.28137	4	
0.37	0.6	0.241317	3	1.26869	4	
0.372	0.6	0.2455	3	1.26981	4	
0.374	0.6	0.249543	3	1.25761	4	
0.376	0.6	0.25344	3	1.25909	4	
0.378	0.6	0.257187	3	1.24741	4	
0.38	0.6	0.260779	3	1.24926	4	
0.382	0.6	0.264211	3	1.23813	4	
0.384	0.6	0.267479	3	1.24035	4	
0.386	0.6	0.270578	3	1.22981	4	
0.388	0.6	0.273502	3	1.21957	4	
0.39	0.6	0.276247	2	1.22249	4	
0.392	0.6	0.278809	3	1.21289	4	
0.394	0.6	0.281182	3	1.20364	4	
0.396	0.6	0.283363	3	1.20726	4	
0.398	0.6	0.285347	3	1.19869	4	
0.4	0.6	0.287131	3	1.1905	4	

0.3	0.602	0.0330268	3	1.46446	4	
0.302	0.602	0.0304372	3	1.44705	4	
0.304	0.602	0.0214495	3	1.44462	4	
0.306	0.602	0.0124682	3	1.44222	4	
0.308	0.602	0.00349336	3	1.43986	4	
0.31	0.602	0.00547484	3	1.43753	4	
0.312	0.602	0.0144362	3	1.42054	4	
0.314	0.602	0.0233906	3	1.41844	4	
0.316	0.602	0.0323379	3	1.41638	4	
0.318	0.602	0.0412778	3	1.41436	4	
0.32	0.602	0.0502101	3	1.41237	4	
0.322	0.602	0.0591347	3	1.39593	4	
0.324	0.602	0.0680514	3	1.39419	4	
0.326	0.602	0.0769598	3	1.39249	4	
0.328	0.602	0.08586	3	1.39083	4	
0.33	0.602	0.0947515	3	1.37483	4	
0.332	0.602	0.103634	3	1.37344	4	
0.334	0.602	0.112508	3	1.37209	4	
0.336	0.602	0.121372	3	1.35639	4	
0.338	0.602	0.130227	3	1.35532	4	
0.34	0.602	0.139071	3	1.3543	4	
0.342	0.602	0.147906	3	1.35331	4	
0.344	0.602	0.15673	3	1.33825	4	
0.346	0.602	0.165543	3	1.33756	4	
0.348	0.602	0.174346	3	1.33692	4	
0.35	0.602	0.183137	2	1.32232	4	
0.352	0.602	0.191916	3	1.32199	4	
0.354	0.602	0.200683	3	1.30766	4	
0.356	0.602	0.207001	3	1.30765	4	
0.358	0.602	0.212019	3	1.30769	4	
0.36	0.602	0.216925	3	1.29395	4	
0.362	0.602	0.221716	2	1.29433	4	
0.364	0.602	0.226386	3	1.28096	4	
0.366	0.602	0.230932	3	1.28168	4	
0.368	0.602	0.23535	3	1.28245	4	
0.37	0.602	0.239636	3	1.26981	4	
0.372	0.602	0.243784	3	1.27093	4	
0.374	0.602	0.247791	2	1.25876	4	
0.376	0.602	0.251652	3	1.26024	4	
0.378	0.602	0.255363	3	1.24859	4	
0.38	0.602	0.258918	3	1.25043	4	
0.382	0.602	0.262312	3	1.23934	4	
0.384	0.602	0.265542	3	1.22851	4	
0.386	0.602	0.268601	3	1.23105	4	
0.388	0.602	0.271487	3	1.22084	4	
0.39	0.602	0.274192	3	1.22375	4	
0.392	0.602	0.276714	3	1.21418	4	
0.394	0.602	0.279047	2	1.20495	4	
0.396	0.602	0.281187	3	1.20857	4	
0.398	0.602	0.28313	3	1.20002	4	
0.4	0.602	0.284873	3	1.19185	4	

0.3	0.604	0.0322033	3	1.46511	4	
0.302	0.604	0.0310829	3	1.44774	4	
0.304	0.604	0.0220981	3	1.44532	4	
0.306	0.604	0.0131196	3	1.44292	4	
0.308	0.604	0.00414767	3	1.44056	4	
0.31	0.604	0.00481761	3	1.43823	4	
0.312	0.604	0.013776	3	1.42128	4	
0.314	0.604	0.0227275	3	1.41919	4	
0.316	0.604	0.0316717	3	1.41713	4	
0.318	0.604	0.0406085	3	1.41511	4	
0.32	0.604	0.0495378	3	1.39849	4	
0.322	0.604	0.0584592	3	1.39672	4	
0.324	0.604	0.0673727	3	1.39498	4	
0.326	0.604	0.076278	3	1.39329	4	
0.328	0.604	0.0851748	3	1.3771	4	
0.33	0.604	0.094063	3	1.37567	4	
0.332	0.604	0.102942	3	1.37428	4	
0.334	0.604	0.111813	3	1.37293	4	
0.336	0.604	0.120673	3	1.35727	4	
0.338	0.604	0.129524	3	1.3562	4	
0.34	0.604	0.138366	3	1.35518	4	
0.342	0.604	0.147197	3	1.3399	4	
0.344	0.604	0.156017	3	1.33917	4	
0.346	0.604	0.164827	3	1.33849	4	
0.348	0.604	0.173626	3	1.32366	4	
0.35	0.604	0.182413	3	1.32329	4	
0.352	0.604	0.191188	3	1.32296	4	
0.354	0.604	0.199952	3	1.30866	4	
0.356	0.604	0.205538	3	1.30865	4	
0.358	0.604	0.210526	3	1.30869	4	
0.36	0.604	0.215402	3	1.29499	4	
0.362	0.604	0.22016	3	1.29537	4	
0.364	0.604	0.224798	3	1.28204	4	
0.366	0.604	0.229312	3	1.28276	4	
0.368	0.604	0.233696	3	1.26985	4	
0.37	0.604	0.237948	3	1.27092	4	
0.372	0.604	0.242061	3	1.25848	4	
0.374	0.604	0.246033	3	1.2599	4	
0.376	0.604	0.249858	3	1.24797	4	
0.378	0.604	0.253532	3	1.24976	4	
0.38	0.604	0.25705	3	1.23838	4	
0.382	0.604	0.260406	3	1.24054	4	
0.384	0.604	0.263598	2	1.22974	4	
0.386	0.604	0.266619	3	1.23228	4	
0.388	0.604	0.269464	3	1.2221	4	
0.39	0.604	0.27213	3	1.21223	4	
0.392	0.604	0.274612	3	1.21547	4	
0.394	0.604	0.276904	3	1.20626	4	
0.396	0.604	0.279004	3	1.19742	4	
0.398	0.604	0.280907	3	1.20136	4	
0.4	0.604	0.282609	3	1.1932	4	

0.3	0.606	0.0313766	3	1.45089	4	
0.302	0.606	0.0317288	3	1.44843	4	
0.304	0.606	0.0227468	3	1.44601	4	
0.306	0.606	0.0137712	3	1.44361	4	
0.308	0.606	0.00480211	3	1.44125	4	
0.31	0.606	0.00416025	3	1.42415	4	
0.312	0.606	0.0131157	3	1.42202	4	
0.314	0.606	0.0220641	3	1.41993	4	
0.316	0.606	0.0310054	2	1.41787	4	
0.318	0.606	0.0399391	3	1.41585	4	
0.32	0.606	0.0488652	3	1.39927	4	
0.322	0.606	0.0577836	3	1.3975	4	
0.324	0.606	0.0666938	3	1.39577	4	
0.326	0.606	0.0755959	3	1.39408	4	
0.328	0.606	0.0844895	3	1.37793	4	
0.33	0.606	0.0933744	3	1.3765	4	
0.332	0.606	0.10225	3	1.37511	4	
0.334	0.606	0.111117	3	1.35925	4	
0.336	0.606	0.119975	3	1.35815	4	
0.338	0.606	0.128822	3	1.35708	4	
0.34	0.606	0.13766	3	1.35606	4	
0.342	0.606	0.146487	3	1.34082	4	
0.344	0.606	0.155304	3	1.34009	4	
0.346	0.606	0.16411	3	1.33941	4	
0.348	0.606	0.172905	3	1.32462	4	
0.35	0.606	0.181689	3	1.32425	4	
0.352	0.606	0.19046	3	1.32392	4	
0.354	0.606	0.199003	3	1.30966	4	
0.356	0.606	0.20407	3	1.30965	4	
0.358	0.606	0.209028	3	1.2957	4	
0.36	0.606	0.213872	3	1.29603	4	
0.362	0.606	0.218599	3	1.2964	4	
0.364	0.606	0.223205	3	1.28311	4	
0.366	0.606	0.227685	3	1.28383	4	
0.368	0.606	0.232036	3	1.27096	4	
0.37	0.606	0.236253	3	1.27203	4	
0.372	0.606	0.240332	3	1.25962	4	
0.374	0.606	0.244268	3	1.26105	4	
0.376	0.606	0.248057	3	1.24915	4	
0.378	0.606	0.251694	2	1.25094	4	
0.38	0.606	0.255175	3	1.23959	4	
0.382	0.606	0.258494	3	1.24175	4	
0.384	0.606	0.261647	3	1.23098	4	
0.386	0.606	0.264629	3	1.23351	4	
0.388	0.606	0.267435	2	1.22336	4	
0.39	0.606	0.270061	3	1.21352	4	
0.392	0.606	0.272503	3	1.21675	4	
0.394	0.606	0.274755	3	1.20757	4	
0.396	0.606	0.276814	3	1.19875	4	
0.398	0.606	0.278677	3	1.20269	4	
0.4	0.606	0.280338	3	1.19455	4	

0.3	0.608	0.0305467	3	1.45158	4	
0.302	0.608	0.0323747	3	1.44912	4	
0.304	0.608	0.0233956	3	1.4467	4	
0.306	0.608	0.0144228	3	1.44431	4	
0.308	0.608	0.00545667	3	1.44195	4	
0.31	0.608	0.00350275	3	1.42488	4	
0.312	0.608	0.0124553	3	1.42276	4	
0.314	0.608	0.0214007	3	1.42067	4	
0.316	0.608	0.0303388	3	1.41861	4	
0.318	0.608	0.0392695	3	1.40186	4	
0.32	0.608	0.0481925	3	1.40006	4	
0.322	0.608	0.0571077	3	1.39829	4	
0.324	0.608	0.0660148	3	1.39656	4	
0.326	0.608	0.0749136	3	1.38022	4	
0.328	0.608	0.083804	3	1.37876	4	
0.33	0.608	0.0926855	3	1.37733	4	
0.332	0.608	0.101558	3	1.37595	4	
0.334	0.608	0.110422	3	1.36013	4	
0.336	0.608	0.119275	3	1.35902	4	
0.338	0.608	0.12812	3	1.35796	4	
0.34	0.608	0.136954	3	1.3425	4	
0.342	0.608	0.145778	3	1.34173	4	
0.344	0.608	0.154591	3	1.34101	4	
0.346	0.608	0.163393	2	1.326	4	
0.348	0.608	0.172185	3	1.32558	4	
0.35	0.608	0.180964	3	1.32521	4	
0.352	0.608	0.189732	3	1.31071	4	
0.354	0.608	0.197559	3	1.31066	4	
0.356	0.608	0.202596	3	1.31065	4	
0.358	0.608	0.207523	3	1.29674	4	
0.36	0.608	0.212337	3	1.29707	4	
0.362	0.608	0.217032	3	1.28352	4	
0.364	0.608	0.221605	3	1.28419	4	
0.366	0.608	0.226053	2	1.2849	4	
0.368	0.608	0.23037	3	1.27207	4	
0.37	0.608	0.234553	3	1.27313	4	
0.372	0.608	0.238597	2	1.26076	4	
0.374	0.608	0.242497	3	1.26219	4	
0.376	0.608	0.24625	3	1.25032	4	
0.378	0.608	0.24985	3	1.25211	4	
0.38	0.608	0.253293	3	1.24079	4	
0.382	0.608	0.256575	3	1.24295	4	
0.384	0.608	0.259689	3	1.23221	4	
0.386	0.608	0.262632	3	1.22176	4	
0.388	0.608	0.265399	3	1.22462	4	
0.39	0.608	0.267986	3	1.2148	4	
0.392	0.608	0.270387	2	1.20532	4	
0.394	0.608	0.272599	3	1.20888	4	
0.396	0.608	0.274618	3	1.20008	4	
0.398	0.608	0.27644	3	1.19165	4	
0.4	0.608	0.27806	3	1.1959	4	

0.3	0.61	0.0297135	3	1.45227	4	
0.302	0.61	0.0330208	3	1.44981	4	
0.304	0.61	0.0240445	3	1.44739	4	
0.306	0.61	0.0150746	3	1.445	4	
0.308	0.61	0.00611137	3	1.42778	4	
0.31	0.61	0.00284512	3	1.42562	4	
0.312	0.61	0.0117947	3	1.42349	4	
0.314	0.61	0.0207371	3	1.42141	4	
0.316	0.61	0.0296722	3	1.41935	4	
0.318	0.61	0.0385998	3	1.40264	4	
0.32	0.61	0.0475197	3	1.40084	4	
0.322	0.61	0.0564317	3	1.39907	4	
0.324	0.61	0.0653356	3	1.39735	4	
0.326	0.61	0.0742312	3	1.38105	4	
0.328	0.61	0.0831182	3	1.37959	4	
0.33	0.61	0.0919965	3	1.37816	4	
0.332	0.61	0.100866	3	1.37678	4	
0.334	0.61	0.109726	3	1.361	4	
0.336	0.61	0.118576	3	1.35989	4	
0.338	0.61	0.127417	3	1.35883	4	
0.34	0.61	0.136248	3	1.34342	4	
0.342	0.61	0.145068	3	1.34265	4	
0.344	0.61	0.153877	3	1.34193	4	
0.346	0.61	0.162676	3	1.32695	4	
0.348	0.61	0.171464	3	1.32654	4	
0.35	0.61	0.180239	3	1.32616	4	
0.352	0.61	0.189003	3	1.3117	4	
0.354	0.61	0.196109	3	1.31165	4	
0.356	0.61	0.201117	3	1.31165	4	
0.358	0.61	0.206013	3	1.29777	4	
0.36	0.61	0.210795	3	1.2981	4	
0.362	0.61	0.215458	3	1.28459	4	
0.364	0.61	0.219999	3	1.28526	4	
0.366	0.61	0.224414	3	1.27215	4	
0.368	0.61	0.228697	3	1.27317	4	
0.37	0.61	0.232846	3	1.27424	4	
0.372	0.61	0.236855	3	1.2619	4	
0.374	0.61	0.24072	3	1.26333	4	
0.376	0.61	0.244436	3	1.25149	4	
0.378	0.61	0.248	3	1.23988	4	
0.38	0.61	0.251405	3	1.24199	4	
0.382	0.61	0.254649	2	1.23096	4	
0.384	0.61	0.257725	3	1.23344	4	
0.386	0.61	0.260629	3	1.22302	4	
0.388	0.61	0.263357	3	1.22588	4	
0.39	0.61	0.265904	3	1.21609	4	
0.392	0.61	0.268265	3	1.20663	4	
0.394	0.61	0.270437	3	1.21019	4	
0.396	0.61	0.272415	2	1.20141	4	
0.398	0.61	0.274196	3	1.193	4	
0.4	0.61	0.275776	3	1.19725	4	

0.3	0.612	0.028877	3	1.45295	4	
0.302	0.612	0.033667	3	1.4505	4	
0.304	0.612	0.0246935	3	1.44808	4	
0.306	0.612	0.0157265	3	1.44569	4	
0.308	0.612	0.0067662	3	1.42851	4	
0.31	0.612	0.00218735	4	1.42635	4	
0.312	0.612	0.0111339	3	1.42423	4	
0.314	0.612	0.0200733	3	1.42214	4	
0.316	0.612	0.0290054	3	1.40526	4	
0.318	0.612	0.0379299	3	1.40342	4	
0.32	0.612	0.0468467	3	1.40162	4	
0.322	0.612	0.0557555	3	1.39986	4	
