#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.258	0.05	0.031141	3	1.78218	4	
0.26	0.05	0.0216801	4	1.77685	4	
0.262	0.05	0.0122192	4	1.77152	4	
0.264	0.05	0.00275834	4	1.7662	4	
0.266	0.05	0.00670245	3	1.76089	4	
0.268	0.05	0.0161632	3	1.75558	4	
0.27	0.05	0.0256239	4	1.75027	4	
0.272	0.05	0.00338145	4	1.74497	4	
0.274	0.05	0.0128422	3	1.73968	4	
0.276	0.05	0.0223029	3	1.73439	4	
0.278	0.05	0.0317636	3	1.7291	4	
0.28	0.05	0.0412242	4	1.72382	4	
0.282	0.05	0.0506848	3	1.71855	4	
0.284	0.05	0.0601453	3	1.71328	4	
0.286	0.05	0.0696057	3	1.70801	4	
0.288	0.05	0.0790661	3	1.70275	4	

0.24	0.06	0.113069	3	1.84494	4	
0.242	0.06	0.103609	3	1.83957	4	
0.244	0.06	0.0941489	2	1.8342	4	
0.246	0.06	0.0846892	2	1.82884	4	
0.248	0.06	0.07523	2	1.82349	4	
0.25	0.06	0.0657701	2	1.81814	4	
0.252	0.06	0.0563098	2	1.81279	4	
0.254	0.06	0.04685	3	1.80745	4	
0.256	0.06	0.0373904	3	1.80212	4	
0.258	0.06	0.0279308	4	1.79679	4	
0.26	0.06	0.0184713	4	1.79146	4	
0.262	0.06	0.00901189	3	1.78614	4	
0.264	0.06	0.000447493	4	1.78082	4	
0.266	0.06	0.00990681	4	1.77551	4	
0.268	0.06	0.0193661	4	1.77021	4	
0.27	0.06	0.00886701	3	1.76491	4	
0.272	0.06	0.000238309	4	1.75961	4	
0.274	0.06	0.00969761	3	1.75432	4	
0.276	0.06	0.0191569	4	1.74903	4	
0.278	0.06	0.028616	4	1.74375	4	
0.28	0.06	0.0380751	3	1.73848	4	
0.282	0.06	0.0475342	3	1.73321	4	
0.284	0.06	0.0569931	3	1.72794	4	
0.286	0.06	0.066452	3	1.72268	4	
0.288	0.06	0.0759108	3	1.71742	4	

0.24	0.07	0.109837	3	1.85949	4	
0.242	0.07	0.100378	3	1.85412	4	
0.244	0.07	0.0909198	3	1.84876	4	
0.246	0.07	0.0814614	3	1.84341	4	
0.248	0.07	0.0720032	3	1.83806	4	
0.25	0.07	0.062545	3	1.83271	4	
0.252	0.07	0.0530869	3	1.82737	4	
0.254	0.07	0.0436288	3	1.82204	4	
0.256	0.07	0.0341708	4	1.81671	4	
0.258	0.07	0.0247129	3	1.81138	4	
0.26	0.07	0.0152551	3	1.80606	4	
0.262	0.07	0.00579739	4	1.80074	4	
0.264	0.07	0.00366025	4	1.79543	4	
0.266	0.07	0.0103172	4	1.79013	4	
0.268	0.07	0.000876184	4	1.78483	4	
0.27	0.07	0.00856445	4	1.77953	4	
0.272	0.07	0.0029003	3	1.77424	4	
0.274	0.07	0.0065573	4	1.76895	4	
0.276	0.07	0.0160148	4	1.76367	4	
0.278	0.07	0.0254722	3	1.75839	4	
0.28	0.07	0.0349296	3	1.75312	4	
0.282	0.07	0.0443868	4	1.74786	4	
0.284	0.07	0.0538439	3	1.74259	4	
0.286	0.07	0.0633009	3	1.73734	4	
0.288	0.07	0.0727579	3	1.73208	4	

0.24	0.08	0.106594	3	1.87404	4	
0.242	0.08	0.0971376	3	1.86868	4	
0.244	0.08	0.087681	3	1.86332	4	
0.246	0.08	0.0782244	3	1.85797	4	
0.248	0.08	0.068768	3	1.85262	4	
0.25	0.08	0.0593116	3	1.84728	4	
0.252	0.08	0.0498553	3	1.84195	4	
0.254	0.08	0.0403992	4	1.83662	4	
0.256	0.08	0.0309431	3	1.83129	4	
0.258	0.08	0.0214872	3	1.82597	4	
0.26	0.08	0.0120313	4	1.82065	4	
0.262	0.08	0.00257556	4	1.81534	4	
0.264	0.08	0.00688007	3	1.81003	4	
0.266	0.08	0.0106521	4	1.80473	4	
0.268	0.08	0.00121817	4	1.79944	4	
0.27	0.08	0.00821527	4	1.79414	4	
0.272	0.08	0.00603449	4	1.78886	4	
0.274	0.08	0.00342116	4	1.78358	4	
0.276	0.08	0.0128767	3	1.7783	4	
0.278	0.08	0.0223321	3	1.77303	4	
0.28	0.08	0.0317874	4	1.76776	4	
0.282	0.08	0.0412426	3	1.7625	4	
0.284	0.08	0.0506976	3	1.75724	4	
0.286	0.08	0.0601525	3	1.75199	4	
0.288	0.08	0.0696073	3	1.74674	4	

0.24	0.09	0.103342	3	1.88857	4	
0.242	0.09	0.0938869	3	1.88322	4	
0.244	0.09	0.0844323	3	1.87787	4	
0.246	0.09	0.0749778	3	1.87252	4	
0.248	0.09	0.0655234	3	1.86718	4	
0.25	0.09	0.0560692	3	1.86184	4	
0.252	0.09	0.046615	4	1.85651	4	
0.254	0.09	0.037161	3	1.85119	4	
0.256	0.09	0.0277071	3	1.84586	4	
0.258	0.09	0.0182534	4	1.84055	4	
0.26	0.09	0.00879975	3	1.83524	4	
0.262	0.09	0.000653733	4	1.82993	4	
0.264	0.09	0.0101071	4	1.82463	4	
0.266	0.09	0.0110317	3	1.81933	4	
0.268	0.09	0.0280717	4	1.81404	4	
0.27	0.09	0.0186179	3	1.80875	4	
0.272	0.09	0.00916436	4	1.80347	4	
0.274	0.09	0.000289086	4	1.79819	4	
0.276	0.09	0.00974239	3	1.79292	4	
0.278	0.09	0.0191955	4	1.78765	4	
0.28	0.09	0.0286485	3	1.78238	4	
0.282	0.09	0.0381014	3	1.77713	4	
0.284	0.09	0.0475541	4	1.77187	4	
0.286	0.09	0.0570066	3	1.76662	4	
0.288	0.09	0.0664589	3	1.76138	4	

0.24	0.1	0.100078	3	1.9031	4	
0.242	0.1	0.090626	3	1.89775	4	
0.244	0.1	0.0811736	3	1.8924	4	
0.246	0.1	0.0717214	3	1.88706	4	
0.248	0.1	0.0622694	3	1.88173	4	
0.25	0.1	0.0528175	4	1.87639	4	
0.252	0.1	0.0433657	3	1.87107	4	
0.254	0.1	0.0339141	3	1.86575	4	
0.256	0.1	0.0244627	4	1.86043	4	
0.258	0.1	0.0150114	3	1.85512	4	
0.26	0.1	0.00556031	4	1.84981	4	
0.262	0.1	0.00389062	4	1.84451	4	
0.264	0.1	0.0208738	3	1.83921	4	
0.266	0.1	0.0114562	3	1.83392	4	
0.268	0.1	0.00203928	4	1.82863	4	
0.27	0.1	0.0217412	3	1.82334	4	
0.272	0.1	0.01229	4	1.81807	4	
0.274	0.1	0.00283901	4	1.81279	4	
0.276	0.1	0.00661181	4	1.80752	4	
0.278	0.1	0.0160625	4	1.80226	4	
0.28	0.1	0.0255129	3	1.797	4	
0.282	0.1	0.0349632	4	1.79175	4	
0.284	0.1	0.0444132	3	1.7865	4	
0.286	0.1	0.0538631	3	1.78125	4	
0.288	0.1	0.0633128	3	1.77601	4	

0.24	0.11	0.0968046	3	1.91762	4	
0.242	0.11	0.0873546	3	1.91227	4	
0.244	0.11	0.0779048	3	1.90693	4	
0.246	0.11	0.0684552	3	1.90159	4	
0.248	0.11	0.0590057	3	1.89626	4	
0.25	0.11	0.0495564	3	1.89094	4	
0.252	0.11	0.0401073	3	1.88561	4	
0.254	0.11	0.0306584	3	1.8803	4	
0.256	0.11	0.0212097	4	1.87498	4	
0.258	0.11	0.0117612	3	1.86968	4	
0.26	0.11	0.00231287	4	1.86437	4	
0.262	0.11	0.00713522	4	1.85907	4	
0.264	0.11	0.0213333	4	1.85378	4	
0.266	0.11	0.0119254	4	1.84849	4	
0.268	0.11	0.00251847	4	1.84321	4	
0.27	0.11	0.00688762	4	1.83793	4	
0.272	0.11	0.0162928	3	1.83266	4	
0.274	0.11	0.00596323	3	1.82739	4	
0.276	0.11	0.00348487	4	1.82212	4	
0.278	0.11	0.0129328	3	1.81686	4	
0.28	0.11	0.0223804	4	1.81161	4	
0.282	0.11	0.0318279	3	1.80636	4	
0.284	0.11	0.041275	3	1.80111	4	
0.286	0.11	0.050722	3	1.79587	4	
0.288	0.11	0.0601687	3	1.79064	4	

0.24	0.12	0.0935199	3	1.93213	4	
0.242	0.12	0.0840727	3	1.92679	4	
0.244	0.12	0.0746256	3	1.92145	4	
0.246	0.12	0.0651788	3	1.91612	4	
0.248	0.12	0.0557322	3	1.91079	4	
0.25	0.12	0.0462858	3	1.90547	4	
0.252	0.12	0.0368396	3	1.90015	4	
0.254	0.12	0.0273937	4	1.89484	4	
0.256	0.12	0.017948	3	1.88953	4	
0.258	0.12	0.00850251	4	1.88422	4	
0.26	0.12	0.000942709	3	1.87893	4	
0.262	0.12	0.0103877	4	1.87363	4	
0.264	0.12	0.0218367	4	1.86834	4	
0.266	0.12	0.0124396	3	1.86306	4	
0.268	0.12	0.00304349	4	1.85778	4	
0.27	0.12	0.00635155	3	1.85251	4	
0.272	0.12	0.0157455	3	1.84023	4	
0.274	0.12	0.0251384	3	1.835	4	
0.276	0.12	0.000361472	4	1.82978	4	
0.278	0.12	0.00980636	3	1.82456	4	
