#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.6	0.1	0.711565	3	1.29902	4	
0.602	0.1	0.706913	3	1.29218	4	
0.604	0.1	0.702264	3	1.28533	4	
0.606	0.1	0.697619	3	1.27849	4	
0.608	0.1	0.692977	3	1.27165	4	
0.61	0.1	0.688339	3	1.26481	4	
0.612	0.1	0.683704	3	1.25797	4	
0.614	0.1	0.679074	3	1.25113	4	
0.616	0.1	0.674446	3	1.24429	4	
0.618	0.1	0.669823	3	1.23745	4	
0.62	0.1	0.665202	3	1.23061	4	
0.622	0.1	0.660586	3	1.22377	4	
0.624	0.1	0.655973	3	1.21693	4	
0.626	0.1	0.651364	3	1.21009	4	
0.628	0.1	0.646758	3	1.20326	4	
0.63	0.1	0.642156	3	1.19642	4	
0.632	0.1	0.637558	3	1.18958	4	
0.634	0.1	0.632964	3	1.18275	4	
0.636	0.1	0.628373	3	1.17591	4	
0.638	0.1	0.623785	3	1.16908	4	
0.64	0.1	0.619202	3	1.16224	4	
0.642	0.1	0.614622	3	1.15541	4	
0.644	0.1	0.610045	3	1.14858	4	
0.646	0.1	0.605473	3	1.14174	4	
0.648	0.1	0.600903	3	1.13491	4	
0.65	0.1	0.596338	3	1.12808	4	
0.652	0.1	0.591776	3	1.12125	4	
0.654	0.1	0.587218	3	1.11442	4	
0.656	0.1	0.582664	3	1.10759	4	
0.658	0.1	0.578113	3	1.10076	4	
0.66	0.1	0.573566	3	1.09393	4	
0.662	0.1	0.569022	3	1.0871	4	
0.664	0.1	0.564482	3	1.08027	4	
0.666	0.1	0.559946	3	1.07345	4	
0.668	0.1	0.555414	3	1.06662	4	
0.67	0.1	0.550885	3	1.05979	4	
0.672	0.1	0.546359	3	1.05297	4	
0.674	0.1	0.541838	3	1.04614	4	
0.676	0.1	0.53732	3	1.03932	4	
0.678	0.1	0.532805	3	1.0325	4	
0.68	0.1	0.528294	3	1.02567	4	
0.682	0.1	0.523787	3	1.01885	4	
0.684	0.1	0.519284	3	1.01203	4	
0.686	0.1	0.514784	3	1.00521	4	
0.688	0.1	0.510287	3	0.998391	4	
0.69	0.1	0.505794	3	0.991572	4	
0.692	0.1	0.501305	3	0.984754	4	
0.694	0.1	0.49682	3	0.977936	4	
0.696	0.1	0.492338	3	0.97112	4	
