#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.3	1	0.170033	3	1.19275	5	
0.302	1	0.161709	3	1.19565	5	
0.304	1	0.153397	3	1.1986	5	
0.306	1	0.145099	3	1.20161	5	
0.308	1	0.136814	3	1.16518	5	
0.31	1	0.128542	3	1.16877	5	
0.312	1	0.120285	3	1.17243	5	
0.314	1	0.112042	3	1.17614	5	
0.316	1	0.103813	3	1.17991	5	
0.318	1	0.0955999	3	1.14572	5	
0.32	1	0.0874015	3	1.15007	5	
0.322	1	0.0792187	3	1.15448	5	
0.324	1	0.0710519	3	1.15894	5	
0.326	1	0.0629013	4	1.12665	5	
0.328	1	0.0547674	3	1.13168	5	
0.33	1	0.0466505	3	1.13677	5	
0.332	1	0.0385511	3	1.1419	5	
0.334	1	0.0304694	3	1.14708	5	
0.336	1	0.022406	3	1.11731	5	
0.338	1	0.0143612	3	1.12304	5	
0.34	1	0.00633553	3	1.12881	5	
0.342	1	0.00167064	4	1.13464	5	
0.344	1	0.00965682	4	1.10687	5	
0.346	1	0.0176225	3	1.1132	5	
0.348	1	0.0255673	3	1.11958	5	
0.35	1	0.0334907	4	1.12599	5	
0.352	1	0.0413921	3	1.13244	5	
0.354	1	0.049271	3	1.10705	5	
0.356	1	0.057127	3	1.11397	5	
0.358	1	0.0649593	3	1.12092	5	
0.36	1	0.0727675	3	1.1279	5	
0.362	1	0.080551	3	1.13492	5	
0.364	1	0.0883091	3	1.11166	5	
0.366	1	0.0960412	3	1.11908	5	
0.368	1	0.103747	3	1.12653	5	
0.37	1	0.111425	3	1.13401	5	
0.372	1	0.119075	3	1.14152	5	
0.374	1	0.126697	3	1.14905	5	
0.376	1	0.134289	3	1.1279	5	
0.378	1	0.141851	3	1.13577	5	
0.38	1	0.149383	3	1.14366	5	
0.382	1	0.156882	3	1.15158	5	
0.384	1	0.164349	3	1.15951	5	
0.386	1	0.171783	3	1.16747	5	
0.388	1	0.179183	3	1.17545	5	
0.39	1	0.186547	3	1.18344	5	
0.392	1	0.193876	3	1.19146	5	
0.394	1	0.201167	3	1.17261	5	
0.396	1	0.208421	3	1.18088	5	
0.398	1	0.215636	3	1.18917	5	
0.4	1	0.222811	3	1.19747	5	

0.3	1.005	0.171716	3	1.19601	5	
0.302	1.005	0.163401	3	1.1989	5	
0.304	1.005	0.155099	3	1.20186	5	
0.306	1.005	0.146811	3	1.16508	5	
0.308	1.005	0.138536	2	1.16862	5	
0.31	1.005	0.130275	3	1.17222	5	
0.312	1.005	0.122027	3	1.17588	5	
0.314	1.005	0.113794	3	1.17959	5	
0.316	1.005	0.105576	3	1.14504	5	
0.318	1.005	0.0973732	3	1.14934	5	
0.32	1.005	0.0891854	3	1.15369	5	
0.322	1.005	0.0810132	3	1.1581	5	
0.324	1.005	0.0728571	3	1.16256	5	
0.326	1.005	0.0647174	3	1.13043	5	
0.328	1.005	0.0565944	3	1.13546	5	
0.33	1.005	0.0484886	3	1.14054	5	
0.332	1.005	0.0404003	3	1.14567	5	
0.334	1.005	0.0323299	3	1.11553	5	
0.336	1.005	0.0242778	3	1.12121	5	
0.338	1.005	0.0162445	3	1.12694	5	
0.34	1.005	0.00823041	4	1.13272	5	
0.342	1.005	0.000235927	4	1.1046	5	
0.344	1.005	0.00773846	3	1.11089	5	
0.346	1.005	0.0156923	4	1.11721	5	
0.348	1.005	0.023625	3	1.12358	5	
0.35	1.005	0.0315362	4	1.12999	5	
0.352	1.005	0.0394254	3	1.10427	5	
0.354	1.005	0.0472919	3	1.11115	5	
0.356	1.005	0.0551354	3	1.11806	5	
0.358	1.005	0.0629551	3	1.125	5	
0.36	1.005	0.0707505	3	1.13198	5	
0.362	1.005	0.0785211	3	1.10842	5	
0.364	1.005	0.0862663	3	1.11581	5	
0.366	1.005	0.0939853	3	1.12323	5	
0.368	1.005	0.101678	3	1.13067	5	
0.37	1.005	0.109342	3	1.13815	5	
0.372	1.005	0.116979	3	1.14565	5	
0.374	1.005	0.124587	3	1.12424	5	
0.376	1.005	0.132166	3	1.13208	5	
0.378	1.005	0.139714	3	1.13994	5	
0.38	1.005	0.147231	3	1.14783	5	
0.382	1.005	0.154717	3	1.15574	5	
0.384	1.005	0.162169	3	1.16367	5	
0.386	1.005	0.169589	3	1.17162	5	
0.388	1.005	0.176974	3	1.17959	5	
0.39	1.005	0.184324	3	1.18758	5	
0.392	1.005	0.191637	3	1.16853	5	
0.394	1.005	0.198914	3	1.17678	5	
0.396	1.005	0.206152	3	1.18505	5	
0.398	1.005	0.213352	3	1.19333	5	
0.4	1.005	0.220512	3	1.20162	5	

0.3	1.01	0.173399	3	1.19925	5	
0.302	1.01	0.165095	3	1.20215	5	
0.304	1.01	0.156803	3	1.20511	5	
0.306	1.01	0.148524	3	1.16851	5	
0.308	1.01	0.140259	3	1.17206	5	
0.31	1.01	0.132008	3	1.17566	5	
0.312	1.01	0.123771	3	1.17932	5	
0.314	1.01	0.115548	3	1.14441	5	
0.316	1.01	0.107341	3	1.14865	5	
0.318	1.01	0.099148	3	1.15295	5	
