#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.15	0	0.558142	4	1.97776	3	
0.152	0	0.548677	4	1.98664	5	
0.154	0	0.539213	4	1.98103	5	
0.156	0	0.529749	4	1.97543	5	
0.158	0	0.520285	4	1.96983	5	
0.16	0	0.510821	4	1.96423	5	
0.162	0	0.501357	4	1.95865	5	
0.164	0	0.491893	4	1.95307	5	
0.166	0	0.482429	4	1.94749	5	
0.168	0	0.472965	4	1.94192	5	
0.17	0	0.463501	4	1.93636	5	
0.172	0	0.454036	4	1.9308	5	
0.174	0	0.444572	4	1.92524	5	
0.176	0	0.435108	4	1.91969	5	
0.178	0	0.425644	4	1.91415	5	
0.18	0	0.41618	4	1.90861	5	
0.182	0	0.406716	4	1.90308	5	
0.184	0	0.397252	4	1.89755	5	
0.186	0	0.387788	4	1.89203	5	
0.188	0	0.378324	4	1.88652	5	
0.19	0	0.36886	4	1.88101	5	
0.192	0	0.359395	4	1.8755	5	
0.194	0	0.349931	4	1.87001	5	
0.196	0	0.340467	4	1.86451	5	
0.198	0	0.331003	4	1.85902	5	
0.2	0	0.321539	4	1.85354	5	
0.202	0	0.312075	4	1.84807	5	
0.204	0	0.302611	4	1.84259	5	
0.206	0	0.293147	4	1.83713	5	
0.208	0	0.283683	4	1.83167	5	
0.21	0	0.274219	4	1.82621	5	
0.212	0	0.264754	4	1.82077	5	
0.214	0	0.25529	4	1.81532	5	
0.216	0	0.245826	4	1.80989	5	
0.218	0	0.236362	4	1.80445	5	
0.22	0	0.226898	4	1.79903	5	
0.222	0	0.217434	4	1.79361	5	
0.224	0	0.20797	4	1.78819	5	
0.226	0	0.198506	4	1.78278	5	
0.228	0	0.189042	4	1.77738	5	
0.23	0	0.179578	4	1.77198	5	
0.232	0	0.170113	4	1.76659	5	
0.234	0	0.160649	4	1.7612	5	
0.236	0	0.151185	4	1.75582	5	
0.238	0	0.141721	4	1.75044	5	
0.24	0	0.132257	4	1.74507	5	
0.242	0	0.122793	4	1.73971	5	
0.244	0	0.113329	4	1.73435	5	
0.246	0	0.103865	4	1.72899	5	
0.248	0	0.0944006	4	1.72365	5	
0.25	0	0.0849365	4	1.7183	5	
0.252	0	0.0754724	4	1.71297	5	
0.254	0	0.0660083	4	1.70764	5	
0.256	0	0.0565442	4	1.70231	5	
0.258	0	0.0470801	4	1.69699	5	
0.26	0	0.037616	4	1.69168	5	
0.262	0	0.0281519	4	1.68637	5	
0.264	0	0.0186878	4	1.68107	5	
0.266	0	0.00922368	4	1.67577	5	
0.268	0	0.000240424	4	1.67048	5	
0.27	0	0.00970453	4	1.6652	5	
0.272	0	0.0191686	4	1.65992	5	
0.274	0	0.0286327	4	1.65464	5	
0.276	0	0.0380968	4	1.64937	5	
0.278	0	0.0475609	4	1.64411	5	
0.28	0	0.057025	4	1.63886	5	
0.282	0	0.0664891	4	1.63361	5	
0.284	0	0.0759532	4	1.62836	5	
0.286	0	0.0854173	4	1.62312	5	
0.288	0	0.0948814	4	1.61789	5	
0.29	0	0.104346	4	1.61266	5	
0.292	0	0.11381	4	1.60744	5	
0.294	0	0.123274	4	1.60222	5	
0.296	0	0.132738	4	1.59701	5	
0.298	0	0.142202	4	1.59181	5	
0.3	0	0.151666	4	1.58661	5	
0.302	0	0.16113	4	1.58142	5	
0.304	0	0.170594	4	1.57623	5	
0.306	0	0.180058	4	1.57105	5	
0.308	0	0.189522	4	1.56587	5	
0.31	0	0.198987	4	1.5607	5	
0.312	0	0.208451	4	1.55554	5	
0.314	0	0.217915	4	1.55038	5	
0.316	0	0.227379	4	1.54523	5	
0.318	0	0.236843	4	1.54009	5	
0.32	0	0.246307	4	1.53495	5	
0.322	0	0.255771	4	1.52981	5	
0.324	0	0.265235	4	1.52468	5	
0.326	0	0.274699	4	1.51956	5	
0.328	0	0.284163	4	1.51445	5	
0.33	0	0.293628	4	1.50934	5	
0.332	0	0.303092	4	1.50423	5	
0.334	0	0.312556	4	1.49913	5	
0.336	0	0.32202	4	1.49404	5	
0.338	0	0.331484	4	1.48895	5	
0.34	0	0.340948	4	1.48387	5	
0.342	0	0.350412	4	1.4788	5	
0.344	0	0.359876	4	1.47373	5	
0.346	0	0.36934	4	1.46867	5	
0.348	0	0.378804	4	1.46361	5	
0.35	0	0.388269	4	1.45856	5	
0.352	0	0.397733	4	1.45352	5	
0.354	0	0.407197	4	1.44848	5	
0.356	0	0.416661	4	1.44345	5	
0.358	0	0.426125	4	1.43842	5	
0.36	0	0.435589	4	1.4334	5	
0.362	0	0.445053	4	1.42839	5	
0.364	0	0.454517	4	1.42338	5	
0.366	0	0.463981	4	1.41838	5	
0.368	0	0.473446	4	1.41338	5	
0.37	0	0.48291	4	1.40839	5	
0.372	0	0.492374	4	1.40341	5	
0.374	0	0.501838	4	1.39844	5	
0.376	0	0.511302	4	1.39346	5	
0.378	0	0.520766	4	1.3885	5	
0.38	0	0.53023	4	1.38354	5	
0.382	0	0.539694	4	1.37859	5	
0.384	0	0.549158	4	1.37364	5	
0.386	0	0.558622	4	1.3687	5	
0.388	0	0.568087	4	1.36377	5	
0.39	0	0.577551	4	1.35884	5	
0.392	0	0.587015	4	1.35392	5	
0.394	0	0.596479	4	1.34901	5	
0.396	0	0.605943	4	1.3441	5	
0.398	0	0.615407	4	1.3392	5	

0.15	0.01	0.554963	3	1.97457	3	
0.152	0.01	0.545499	3	1.98403	3	
0.154	0.01	0.536035	3	1.9935	3	
0.156	0.01	0.526571	3	1.99002	5	
0.158	0.01	0.517107	3	1.98442	5	
0.16	0.01	0.507643	3	1.97884	5	
0.162	0.01	0.498179	3	1.97326	5	
0.164	0.01	0.488715	3	1.96768	5	
0.166	0.01	0.479251	3	1.96211	5	
0.168	0.01	0.469787	3	1.95655	5	
0.17	0.01	0.460323	3	1.95099	5	
0.172	0.01	0.450859	3	1.94543	5	
0.174	0.01	0.441395	3	1.93989	5	
0.176	0.01	0.431931	3	1.93434	5	
0.178	0.01	0.422467	3	1.92881	5	
0.18	0.01	0.413003	3	1.92328	5	
0.182	0.01	0.403539	3	1.91775	5	
0.184	0.01	0.394075	3	1.91223	5	
0.186	0.01	0.384611	3	1.90671	5	
0.188	0.01	0.375147	3	1.9012	5	
0.19	0.01	0.365683	3	1.8957	5	
0.192	0.01	0.356219	3	1.8902	5	
0.194	0.01	0.346755	3	1.88471	5	
0.196	0.01	0.337291	3	1.87922	5	
0.198	0.01	0.327827	3	1.87374	5	
0.2	0.01	0.318363	3	1.86826	5	
0.202	0.01	0.308899	3	1.86279	5	
0.204	0.01	0.299435	3	1.85733	5	
0.206	0.01	0.289971	3	1.85187	5	
0.208	0.01	0.280507	3	1.84641	5	
0.21	0.01	0.271043	3	1.84096	5	
0.212	0.01	0.261579	3	1.83552	5	
0.214	0.01	0.252115	3	1.83008	5	
0.216	0.01	0.242651	3	1.82465	5	
0.218	0.01	0.233187	3	1.81922	5	
0.22	0.01	0.223723	3	1.8138	5	
0.222	0.01	0.214259	3	1.80839	5	
0.224	0.01	0.204795	3	1.80298	5	
0.226	0.01	0.195331	3	1.79757	5	
0.228	0.01	0.185867	3	1.79217	5	
0.23	0.01	0.176403	3	1.78678	5	
0.232	0.01	0.166939	3	1.78139	5	
0.234	0.01	0.157475	3	1.77601	5	
