#1:k	2:<phi_1|psi>_square	3:<phi_2|psi>_square	4:<phi_3|psi>_square
2.28336	0.647399	0.00228898	0.350312
2.29911	0.638799	0.00208624	0.359114
2.31486	0.629943	0.00188013	0.368177
2.33061	0.620815	0.00167166	0.377513
2.34635	0.611402	0.00146216	0.387136
2.3621	0.601687	0.00125331	0.39706
2.37785	0.591652	0.00104722	0.4073
2.39359	0.58128	0.000846557	0.417874
2.40934	0.570547	0.000654658	0.428798
2.42509	0.559433	0.000475667	0.440091
2.44084	0.547912	0.000314735	0.451773
2.45658	0.535957	0.000178251	0.463864
2.47233	0.523539	7.41186e-05	0.476387
2.48808	0.510624	1.21123e-05	0.489364
2.50383	0.497179	4.30457e-06	0.502817
2.51957	0.483164	6.55966e-05	0.51677
2.53532	0.468541	0.000214366	0.531245
2.55107	0.453264	0.000473256	0.546262
2.56682	0.43729	0.000870132	0.56184
2.58256	0.42057	0.00143922	0.577991
2.59831	0.403057	0.00222248	0.59472
2.61406	0.384706	0.00327113	0.612023
2.6298	0.365474	0.0046474	0.629879
2.64555	0.345327	0.0064264	0.648247
2.6613	0.324244	0.00869794	0.667058
2.67705	0.302225	0.011568	0.686207
2.69279	0.279297	0.0151597	0.705544
2.70854	0.255529	0.0196124	0.724859
2.72429	0.231042	0.0250793	0.743879
2.74004	0.206022	0.0317213	0.762257
2.75578	0.180733	0.0396966	0.779571
2.77153	0.15552	0.0491464	0.795333
2.78728	0.13081	0.0601751	0.809015
2.80303	0.10709	0.0728293	0.820081
2.81877	0.084881	0.0870774	0.828042
2.83452	0.0646891	0.102797	0.832514
2.85027	0.0469544	0.119774	0.833272
2.86601	0.0320019	0.137714	0.830284
2.88176	0.0200085	0.156273	0.823718
2.89751	0.0109925	0.175089	0.813919
2.91326	0.00482719	0.193814	0.801358
2.929	0.001272	0.212151	0.786577
2.94475	1.31356e-05	0.229859	0.770127
2.9605	0.000703286	0.246769	0.752527
2.97625	0.00299449	0.262774	0.734232
2.99199	0.00656132	0.27782	0.715619
3.00774	0.0111144	0.291898	0.696988
3.02349	0.0164062	0.305029	0.678565
3.03923	0.0222312	0.317257	0.660512
3.05498	0.0284231	0.328636	0.642941
3.07073	0.0348498	0.339227	0.625923
3.08648	0.0414082	0.349094	0.609498
3.10222	0.0480192	0.358299	0.593682
3.11797	0.0546234	0.3669	0.578477
3.13372	0.0611763	0.374952	0.563872
3.14947	0.0676458	0.382505	0.549849
3.16521	0.0740093	0.389606	0.536385
3.18096	0.0802513	0.396294	0.523455
3.19671	0.0863621	0.402606	0.511032
3.21246	0.092336	0.408574	0.49909
3.2282	0.0981708	0.414227	0.487602
3.24395	0.103866	0.41959	0.476543
3.2597	0.109425	0.424685	0.46589
3.27544	0.114849	0.429532	0.455619
3.29119	0.120143	0.434148	0.445709
3.30694	0.125313	0.438547	0.43614
3.32269	0.130362	0.442743	0.426895
3.33843	0.135297	0.446747	0.417956
3.35418	0.140124	0.450569	0.409307
3.36993	0.144848	0.454218	0.400934
3.38568	0.149476	0.457701	0.392823
3.40142	0.154012	0.461025	0.384963
3.41717	0.158464	0.464196	0.37734
3.43292	0.162836	0.467218	0.369946
3.44867	0.167136	0.470095	0.36277
3.46441	0.171367	0.472831	0.355802
3.48016	0.175536	0.475429	0.349035
3.49591	0.179648	0.477891	0.34246
3.51165	0.183709	0.48022	0.336071
3.5274	0.187724	0.482417	0.329859
3.54315	0.191697	0.484483	0.323819
3.5589	0.195635	0.48642	0.317945
3.57464	0.199541	0.488228	0.312231
3.59039	0.203421	0.489908	0.306671
3.60614	0.207279	0.491459	0.301261
3.62189	0.211122	0.492883	0.295996
3.63763	0.214952	0.494178	0.29087
3.65338	0.218774	0.495345	0.28588
3.66913	0.222595	0.496384	0.281022
3.68488	0.226416	0.497293	0.276291
3.70062	0.230244	0.498072	0.271683
3.71637	0.234083	0.498721	0.267196
3.73212	0.237937	0.499238	0.262825
3.74786	0.24181	0.499623	0.258567
3.76361	0.245707	0.499874	0.254419
3.77936	0.249632	0.499991	0.250377
3.79511	0.253589	0.499972	0.246438
3.81085	0.257583	0.499817	0.2426
3.8266	0.261617	0.499524	0.238859
3.84235	0.265696	0.499092	0.235212
3.8581	0.269823	0.49852	0.231657
3.87384	0.274003	0.497806	0.228191
3.88959	0.27824	0.496949	0.224811
3.90534	0.282538	0.495948	0.221514
3.92109	0.286901	0.494801	0.218298
3.93683	0.291332	0.493508	0.21516
3.95258	0.295835	0.492067	0.212098
3.96833	0.300414	0.490477	0.209109
3.98407	0.305073	0.488736	0.20619
3.99982	0.309816	0.486844	0.20334
4.01557	0.314645	0.4848	0.200555
4.03132	0.319564	0.482602	0.197834
4.04706	0.324577	0.480249	0.195173
4.06281	0.329687	0.477742	0.192571
4.07856	0.334896	0.475078	0.190026
4.09431	0.340208	0.472258	0.187534
4.11005	0.345626	0.469281	0.185093
4.1258	0.351151	0.466147	0.182702
4.14155	0.356788	0.462855	0.180358
4.1573	0.362536	0.459406	0.178058
4.17304	0.3684	0.4558	0.1758
4.18879	0.37438	0.452037	0.173583
4.20454	0.380477	0.448119	0.171403
4.22028	0.386694	0.444046	0.16926
4.23603	0.393031	0.43982	0.167149
4.25178	0.399489	0.435441	0.16507
4.26753	0.406068	0.430912	0.16302
4.28327	0.412768	0.426236	0.160996
4.29902	0.419588	0.421414	0.158998
4.31477	0.426528	0.416449	0.157022
4.33052	0.433587	0.411346	0.155067
4.34626	0.440763	0.406106	0.153131
4.36201	0.448053	0.400735	0.151212
4.37776	0.455456	0.395237	0.149307
4.39351	0.462968	0.389616	0.147416
4.40925	0.470586	0.383878	0.145536
4.425	0.478306	0.378029	0.143665
4.44075	0.486124	0.372074	0.141803
4.45649	0.494034	0.36602	0.139946
4.47224	0.502032	0.359873	0.138095
4.48799	0.510113	0.35364	0.136247
4.50374	0.518269	0.34733	0.134401
4.51948	0.526494	0.340949	0.132557
4.53523	0.534781	0.334507	0.130712
4.55098	0.543124	0.32801	0.128866
4.56673	0.551514	0.321467	0.127019
4.58247	0.559943	0.314888	0.125169
4.59822	0.568404	0.308281	0.123315
4.61397	0.576887	0.301654	0.121458
4.62972	0.585385	0.295018	0.119597
4.64546	0.593888	0.28838	0.117732
4.66121	0.602388	0.28175	0.115862
4.67696	0.610877	0.275136	0.113988
4.6927	0.619344	0.268547	0.112109
4.70845	0.627782	0.261992	0.110226
4.7242	0.636182	0.255479	0.10834
4.73995	0.644535	0.249015	0.10645
4.75569	0.652833	0.24261	0.104557
4.77144	0.661069	0.236269	0.102662
4.78719	0.669234	0.230001	0.100765
4.80294	0.677321	0.223811	0.0988677
4.81868	0.685323	0.217706	0.0969705
4.83443	0.693234	0.211692	0.0950743
4.85018	0.701046	0.205774	0.09318
4.86593	0.708755	0.199956	0.0912887
4.88167	0.716355	0.194244	0.0894014
4.89742	0.723841	0.18864	0.0875192
4.91317	0.731208	0.183149	0.0856431
4.92891	0.738452	0.177774	0.0837742
4.94466	0.74557	0.172516	0.0819135
4.96041	0.75256	0.167378	0.0800622
4.97616	0.759417	0.162362	0.0782214
4.9919	0.76614	0.157468	0.076392
5.00765	0.772727	0.152698	0.0745752
5.0234	0.779176	0.148052	0.0727718
5.03915	0.785487	0.14353	0.0709829
5.05489	0.791659	0.139132	0.0692093
5.07064	0.797692	0.134856	0.0674521
5.08639	0.803585	0.130703	0.065712
5.10214	0.809339	0.126671	0.0639899
5.11788	0.814955	0.122759	0.0622864
5.13363	0.820433	0.118965	0.0606024
5.14938	0.825774	0.115287	0.0589384
5.16512	0.830981	0.111724	0.0572952
5.18087	0.836053	0.108274	0.0556732
5.19662	0.840994	0.104933	0.0540731
5.21237	0.845804	0.1017	0.0524953
5.22811	0.850487	0.0985731	0.0509402
5.24386	0.855043	0.0955488	0.0494083
5.25961	0.859475	0.092625	0.0478998
5.27536	0.863786	0.089799	0.0464152
5.2911	0.867977	0.0870682	0.0449547
5.30685	0.872052	0.08443	0.0435185
5.3226	0.876011	0.0818817	0.0421068
5.33835	0.879859	0.0794207	0.0407199
5.35409	0.883598	0.0770444	0.0393577
5.36984	0.887229	0.0747502	0.0380206
5.38559	0.890756	0.0725355	0.0367084
5.40133	0.894181	0.0703977	0.0354214
5.41708	0.897506	0.0683344	0.0341595
5.43283	0.900734	0.0663431	0.0329226
5.44858	0.903868	0.0644213	0.031711
5.46432	0.906909	0.0625668	0.0305243
5.48007	0.90986	0.0607771	0.0293627
5.49582	0.912724	0.0590501	0.0282261
5.51157	0.915502	0.0573835	0.0271143
5.52731	0.918197	0.0557753	0.0260274
5.54306	0.920812	0.0542233	0.0249651
5.55881	0.923347	0.0527254	0.0239273
5.57456	0.925806	0.0512799	0.022914
5.5903	0.92819	0.0498847	0.0219249
5.60605	0.930502	0.048538	0.0209601
5.6218	0.932743	0.047238	0.0200192
5.63754	0.934915	0.0459831	0.0191021
5.65329	0.93702	0.0447715	0.0182088
5.66904	0.939059	0.0436017	0.0173389
5.68479	0.941036	0.0424721	0.0164924
5.70053	0.94295	0.0413811	0.0156691
5.71628	0.944804	0.0403275	0.0148688
5.73203	0.946599	0.0393098	0.0140913
5.74778	0.948337	0.0383265	0.0133365
5.76352	0.950019	0.0373766	0.0126042
5.77927	0.951647	0.0364587	0.0118942
5.79502	0.953222	0.0355716	0.0112063
5.81077	0.954745	0.0347141	0.0105405
5.82651	0.956218	0.0338853	0.00989644
5.84226	0.957642	0.0330839	0.00927405
5.85801	0.959018	0.0323091	0.00867314
5.87375	0.960347	0.0315597	0.00809356
5.8895	0.96163	0.030835	0.00753516
5.90525	0.962868	0.0301339	0.00699778
5.921	0.964063	0.0294555	0.00648127
5.93674	0.965215	0.0287992	0.00598548
5.95249	0.966326	0.0281639	0.00551029
5.96824	0.967395	0.0275491	0.00505554
5.98399	0.968425	0.0269539	0.00462111
5.99973	0.969416	0.0263776	0.00420687
6.01548	0.970368	0.0258195	0.00381269
6.03123	0.971283	0.025279	0.00343847
6.04698	0.97216	0.0247554	0.00308408
6.06272	0.973002	0.0242482	0.00274942
6.07847	0.973809	0.0237568	0.00243438
6.09422	0.974581	0.0232805	0.00213888
6.10996	0.975318	0.0228189	0.00186281
6.12571	0.976023	0.0223714	0.00160608
6.14146	0.976694	0.0219375	0.00136863
6.15721	0.977333	0.0215168	0.00115036
6.17295	0.97794	0.0211089	0.000951218
6.1887	0.978516	0.0207131	0.000771131
6.20445	0.979061	0.0203292	0.000610041
6.2202	0.979575	0.0199568	0.000467895
6.23594	0.98006	0.0195953	0.000344645
6.25169	0.980515	0.0192446	0.000240249
6.26744	0.980941	0.0189041	0.000154673
6.28319	0.981339	0.0185736	8.78842e-05
