#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.26	0	0.0376161	2	1.7094	4	
0.261	0	0.0328841	2	1.70672	4	
0.262	0	0.0281521	2	1.70403	4	
0.263	0	0.02342	2	1.70135	4	
0.264	0	0.018688	2	1.69867	4	
0.265	0	0.0139561	2	1.69599	4	
0.266	0	0.0092242	2	1.69331	4	
0.267	0	0.00449163	4	1.69064	4	
0.268	0	0.000240424	4	1.68796	4	
0.269	0	0.00497343	2	1.68529	4	
0.27	0	0.00970501	2	1.68261	4	
0.271	0	0.0144369	2	1.67994	4	
0.272	0	0.0191689	2	1.67727	4	
0.273	0	0.0239009	2	1.6746	4	
0.274	0	0.0286329	2	1.67193	4	
0.275	0	0.0333649	2	1.66926	4	
0.276	0	0.038097	2	1.66659	4	
0.277	0	0.042829	2	1.66393	4	
0.278	0	0.047561	2	1.66126	4	
0.279	0	0.0522931	2	1.6586	4	
0.28	0	0.0570251	2	1.65594	4	

0.26	0.002	0.0369819	3	1.71229	4	
0.261	0.002	0.0322498	3	1.70961	4	
0.262	0.002	0.0275178	3	1.70692	4	
0.263	0.002	0.0227857	3	1.70424	4	
0.264	0.002	0.0180537	3	1.70156	4	
0.265	0.002	0.0133216	3	1.69888	4	
0.266	0.002	0.00858958	3	1.69621	4	
0.267	0.002	0.00385754	3	1.69353	4	
0.268	0.002	0.000393437	4	1.69085	4	
0.269	0.002	0.00433861	3	1.68818	4	
0.27	0.002	0.00907066	3	1.68551	4	
0.271	0.002	0.0138027	3	1.68283	4	
0.272	0.002	0.0185348	3	1.68016	4	
0.273	0.002	0.0232668	3	1.67749	4	
0.274	0.002	0.0279989	3	1.67482	4	
0.275	0.002	0.0327309	3	1.67216	4	
0.276	0.002	0.0374629	3	1.66949	4	
0.277	0.002	0.042195	3	1.66683	4	
0.278	0.002	0.046927	3	1.66416	4	
0.279	0.002	0.0516591	3	1.6615	4	
0.28	0.002	0.0563911	3	1.65884	4	

0.26	0.004	0.0363475	3	1.71518	4	
0.261	0.004	0.0316155	3	1.7125	4	
0.262	0.004	0.0268834	3	1.70982	4	
0.263	0.004	0.0221514	3	1.70713	4	
0.264	0.004	0.0174193	3	1.70445	4	
0.265	0.004	0.0126873	3	1.70178	4	
0.266	0.004	0.00795525	3	1.6991	4	
0.267	0.004	0.00322321	3	1.69642	4	
0.268	0.004	0.00102707	4	1.69375	4	
0.269	0.004	0.00370497	3	1.69107	4	
0.27	0.004	0.00843701	3	1.6884	4	
0.271	0.004	0.013169	3	1.68573	4	
0.272	0.004	0.0179011	3	1.68306	4	
0.273	0.004	0.0226331	3	1.68039	4	
0.274	0.004	0.0273652	3	1.67772	4	
0.275	0.004	0.0320972	3	1.67505	4	
0.276	0.004	0.0368292	3	1.67239	4	
0.277	0.004	0.0415613	3	1.66972	4	
0.278	0.004	0.0462933	3	1.66706	4	
0.279	0.004	0.0510254	3	1.6644	4	
0.28	0.004	0.0557574	3	1.66174	4	

0.26	0.006	0.0357128	3	1.71807	4	
0.261	0.006	0.0309808	3	1.71539	4	
0.262	0.006	0.0262488	3	1.71271	4	
0.263	0.006	0.0215168	3	1.71002	4	
0.264	0.006	0.0167847	3	1.70735	4	
0.265	0.006	0.0120527	3	1.70467	4	
0.266	0.006	0.00732068	3	1.70199	4	
0.267	0.006	0.00258865	3	1.69931	4	
0.268	0.006	0.00166048	3	1.69664	4	
0.269	0.006	0.00307155	3	1.69397	4	
0.27	0.006	0.00780357	3	1.69129	4	
0.271	0.006	0.0125356	3	1.68862	4	
