#1:kx	2:ky	3:curvature1/2pi	4:curvature2/2pi	5:...
0.0634665	1.77706	2.1621	-2.23632	0.0753828
0.0634665	1.84053	2.06746	-2.15553	0.0891113
0.0634665	1.904	1.97267	-2.07098	0.0992206
0.0634665	1.96746	1.87764	-1.98276	0.105907
0.0634665	2.03093	1.78214	-1.89076	0.109292
0.0634665	2.0944	1.6857	-1.79455	0.109407
0.0634665	2.15786	1.58759	-1.69332	0.106181
0.0634665	2.22133	1.48668	-1.58575	0.0994149
0.0634665	2.28479	1.38129	-1.46979	0.0887548
0.0634665	2.34826	1.26893	-1.34241	0.073652
0.0634665	2.41173	1.14602	-1.19924	0.053315
0.0634665	2.47519	1.00746	-1.03407	0.0266532
0.0634665	2.53866	0.846033	-0.838235	-0.00777794
0.0634665	2.60213	0.651805	-0.599971	-0.0518019
0.0634665	2.66559	0.411743	-0.304082	-0.107552
0.0634665	2.72906	0.11025	0.0672087	-0.177164
0.0634665	2.79253	-0.26768	0.530307	-0.26198
0.0634665	2.85599	-0.727865	1.09	-0.360906
0.0634665	2.91946	-1.2503	1.72015	-0.467784
0.0634665	2.98293	-1.7684	2.34015	-0.568711
0.0634665	3.04639	-2.16438	2.81071	-0.642455
0.0634665	3.10986	-2.31097	2.98295	-0.66772
0.0634665	3.17333	-2.15116	2.79049	-0.635299
0.0634665	3.23679	-1.74198	2.29982	-0.554489
0.0634665	3.30026	-1.21075	1.65999	-0.446677
0.0634665	3.36373	-0.675329	1.01039	-0.333187
0.0634665	3.42719	-0.202378	0.431779	-0.227993
0.0634665	3.49066	0.188034	-0.0495666	-0.137322
0.0634665	3.55413	0.501664	-0.438296	-0.0623327
0.0634665	3.61759	0.753457	-0.750676	-0.00175283
0.0634665	3.68106	0.958956	-1.00435	0.0464794
0.0634665	3.74452	1.13114	-1.21437	0.0844184
0.0634665	3.80799	1.27988	-1.39236	0.113806
0.0634665	3.87146	1.41234	-1.54687	0.136004
0.0634665	3.93492	1.53358	-1.68395	0.152017
0.0634665	3.99839	1.64713	-1.80785	0.162548
0.0634665	4.06186	1.7554	-1.92145	0.168061
0.0634665	4.12532	1.86003	-2.02667	0.168819
0.0634665	4.18879	1.96212	-2.1247	0.164932
0.0634665	4.25226	2.06236	-2.21623	0.156385
0.0634665	4.31572	2.16115	-2.30154	0.143059
0.0634665	4.37919	2.2587	-2.38066	0.124749
0.0634665	4.44266	2.35506	-2.45334	0.10118
0.0634665	4.50612	2.45017	-2.51922	0.0720153
0.0634665	4.56959	2.54389	-2.57776	0.0368673
0.0634665	4.63306	2.63602	-2.62833	-0.00469363
0.0634665	4.69652	2.72631	-2.67023	-0.0531308
0.0634665	4.75999	2.81448	-2.70269	-0.108931
0.0634665	4.82346	2.90021	-2.72491	-0.172592
0.0634665	4.88692	2.98318	-2.73606	-0.244608
0.0634665	4.95039	3.06307	-2.73536	-0.325453
0.0634665	5.01385	3.13953	-2.72204	-0.415553
0.0634665	5.07732	3.21225	-2.69542	-0.515262
0.0634665	5.14079	3.28091	-2.65494	-0.624822
0.0634665	5.20425	3.34523	-2.60024	-0.744319
0.0634665	5.26772	3.40494	-2.53117	-0.873629
0.0634665	5.33119	3.45985	-2.4479	-1.01236
0.0634665	5.39465	3.50979	-2.35101	-1.15978
0.0634665	5.45812	3.55466	-2.24154	-1.31475
0.0634665	5.52159	3.59445	-2.12107	-1.47563
0.0634665	5.58505	3.62923	-1.99183	-1.64026
0.0634665	5.64852	3.65913	-1.85673	-1.80586
0.0634665	5.71199	3.68441	-1.71935	-1.96908
0.0634665	5.77545	3.70539	-1.58392	-2.12599
0.0634665	5.83892	3.72246	-1.45518	-2.27222
0.0634665	5.90239	3.73606	-1.33819	-2.40316
0.0634665	5.96585	3.74664	-1.23802	-2.51415
0.0634665	6.02932	3.75463	-1.15942	-2.60088
0.0634665	6.09279	3.76037	-1.10639	-2.65968
0.0634665	6.15625	3.7641	-1.08181	-2.6879
0.0634665	6.21972	3.76592	-1.08718	-2.68418

0.126933	0	4.02127	-2.37478	-1.64982
0.126933	0.0634665	4.01783	-2.4155	-1.6054
0.126933	0.126933	4.01126	-2.4686	-1.54544
0.126933	0.1904	4.00123	-2.53153	-1.47216
0.126933	0.253866	3.98736	-2.60137	-1.38812
0.126933	0.317333	3.96926	-2.67506	-1.296
0.126933	0.380799	3.94659	-2.74956	-1.19849
0.126933	0.444266	3.91905	-2.8221	-1.09807
0.126933	0.507732	3.88642	-2.89022	-0.997003
0.126933	0.571199	3.84857	-2.95187	-0.897191
0.126933	0.634665	3.80546	-3.00545	-0.800199
0.126933	0.698132	3.75712	-3.04979	-0.707244
0.126933	0.761598	3.7037	-3.08414	-0.619219
0.126933	0.825065	3.64537	-3.10808	-0.536732
0.126933	0.888531	3.58242	-3.12151	-0.460147
0.126933	0.951998	3.51514	-3.12459	-0.389631
0.126933	1.01546	3.4439	-3.11765	-0.325189
0.126933	1.07893	3.36906	-3.10119	-0.26671
0.126933	1.1424	3.29102	-3.0758	-0.21399
0.126933	1.20586	3.2102	-3.04216	-0.166767
0.126933	1.26933	3.12701	-3.00098	-0.124736
0.126933	1.3328	3.04185	-2.95299	-0.087571
0.126933	1.39626	2.95513	-2.89892	-0.0549357
0.126933	1.45973	2.86722	-2.8395	-0.0264964
0.126933	1.5232	2.7785	-2.7754	-0.00192935
0.126933	1.58666	2.68929	-2.70726	0.0190726
0.126933	1.65013	2.5999	-2.63568	0.0367949
0.126933	1.7136	2.5106	-2.56116	0.0514965
0.126933	1.77706	2.42159	-2.48415	0.0634056
0.126933	1.84053	2.33302	-2.40499	0.072716
0.126933	1.904	2.24495	-2.32388	0.0795813
0.126933	1.96746	2.15734	-2.24088	0.0841097
0.126933	2.03093	2.06998	-2.15587	0.0863566
0.126933	2.0944	1.9825	-2.06843	0.0863145
0.126933	2.15786	1.89423	-1.97783	0.0839009
0.126933	2.22133	1.80413	-1.88286	0.0789414
0.126933	2.28479	1.71065	-1.78166	0.0711484
0.126933	2.34826	1.61148	-1.67152	0.0600944
0.126933	2.41173	1.50333	-1.54851	0.04518
0.126933	2.47519	1.38146	-1.40713	0.0255997
0.126933	2.53866	1.2393	-1.23972	0.000315623
0.126933	2.60213	1.06792	-1.03611	-0.0319388
0.126933	2.66559	0.855956	-0.783486	-0.072572
0.126933	2.72906	0.590423	-0.467567	-0.122869
0.126933	2.79253	0.259999	-0.0764436	-0.183382
0.126933	2.85599	-0.137221	0.390495	-0.252805
0.126933	2.91946	-0.580321	0.907495	-0.326335
0.126933	2.98293	-1.01109	1.40656	-0.394274
0.126933	3.04639	-1.33442	1.77857	-0.442745
0.126933	3.10986	-1.45242	1.91226	-0.458399
0.126933	3.17333	-1.3223	1.75924	-0.435581
0.126933	3.23679	-0.986822	1.36801	-0.379994
0.126933	3.30026	-0.543905	0.849968	-0.305062
0.126933	3.36373	-0.0887499	0.314347	-0.22477
0.126933	3.42719	0.320347	-0.170721	-0.148909
0.126933	3.49066	0.662393	-0.579355	-0.082359
0.126933	3.55413	0.939233	-0.912037	-0.0264934
0.126933	3.61759	1.16214	-1.18054	0.0191761
0.126933	3.68106	1.34404	-1.39904	0.0558669
0.126933	3.74452	1.49626	-1.5802	0.0849172
0.126933	3.80799	1.62766	-1.73408	0.10752
0.126933	3.87146	1.74479	-1.86819	0.124638
0.126933	3.93492	1.85231	-1.98793	0.137
0.126933	3.99839	1.95348	-2.09709	0.145129
0.126933	4.06186	2.05055	-2.19827	0.149374
0.126933	4.12532	2.14504	-2.29319	0.149946
0.126933	4.18879	2.23793	-2.38295	0.146945
0.126933	4.25226	2.32983	-2.46817	0.14038
0.126933	4.31572	2.4211	-2.54914	0.130188
0.126933	4.37919	2.51189	-2.6259	0.116248
0.126933	4.44266	2.60222	-2.6983	0.098393
0.126933	4.50612	2.69198	-2.76604	0.0764187
0.126933	4.56959	2.78101	-2.82873	0.0500919
0.126933	4.63306	2.86908	-2.88588	0.0191594
0.126933	4.69652	2.95592	-2.93696	-0.0166439
0.126933	4.75999	3.0412	-2.98139	-0.0575859
0.126933	4.82346	3.12462	-3.01859	-0.103927
0.126933	4.88692	3.20581	-3.04797	-0.155907
0.126933	4.95039	3.28444	-3.06897	-0.213731
0.126933	5.01385	3.36014	-3.0811	-0.277553
0.126933	5.07732	3.43257	-3.08393	-0.347454
0.126933	5.14079	3.5014	-3.07713	-0.423418
0.126933	5.20425	3.56633	-3.06055	-0.505302
0.126933	5.26772	3.62708	-3.0342	-0.592811
0.126933	5.33119	3.68342	-2.99834	-0.685457
0.126933	5.39465	3.73517	-2.95348	-0.782529
0.126933	5.45812	3.78222	-2.90046	-0.883058
0.126933	5.52159	3.82451	-2.84048	-0.985789
0.126933	5.58505	3.86205	-2.77509	-1.08916
0.126933	5.64852	3.89494	-2.70625	-1.19132
0.126933	5.71199	3.92336	-2.63624	-1.29012
0.126933	5.77545	3.94752	-2.56767	-1.38318
0.126933	5.83892	3.96773	-2.50334	-1.46797
0.126933	5.90239	3.98428	-2.44611	-1.54193
0.126933	5.96585	3.9975	-2.39875	-1.60262
0.126933	6.02932	4.00767	-2.36369	-1.64788
0.126933	6.09279	4.01504	-2.34291	-1.67598
0.126933	6.15625	4.01975	-2.33766	-1.68582
0.126933	6.21972	4.02185	-2.34842	-1.67699

0.1904	0	4.27888	-3.40941	-0.871403
0.1904	0.0634665	4.27457	-3.43153	-0.844789
0.1904	0.126933	4.2666	-3.45729	-0.810861
0.1904	0.1904	4.25471	-3.48536	-0.770725
0.1904	0.253866	4.23864	-3.51422	-0.725598
0.1904	0.317333	4.21808	-3.54233	-0.676739
0.1904	0.380799	4.1928	-3.56822	-0.625383
0.1904	0.444266	4.16256	-3.5905	-0.572685
0.1904	0.507732	4.12721	-3.60798	-0.519681
0.1904	0.571199	4.08668	-3.61968	-0.467269
0.1904	0.634665	4.04096	-3.62486	-0.416194
0.1904	0.698132	3.99012	-3.62301	-0.367048
0.1904	0.761598	3.93433	-3.61383	-0.320282
0.1904	0.825065	3.87379	-3.59723	-0.276216
0.1904	0.888531	3.80882	-3.57328	-0.235061
0.1904	0.951998	3.73973	-3.54222	-0.196928
0.1904	1.01546	3.66692	-3.5044	-0.161856
0.1904	1.07893	3.5908	-3.46024	-0.129819
0.1904	1.1424	3.5118	-3.41026	-0.100743
0.1904	1.20586	3.43037	-3.35502	-0.0745215
0.1904	1.26933	3.34696	-3.29509	-0.0510209
0.1904	1.3328	3.26202	-3.23107	-0.0300925
0.1904	1.39626	3.17598	-3.16357	-0.0115785
0.1904	1.45973	3.08928	-3.09315	0.00468211
0.1904	1.5232	3.0023	-3.02037	0.0188485
0.1904	1.58666	2.91542	-2.94576	0.0310739
0.1904	1.65013	2.82897	-2.86979	0.0415025
0.1904	1.7136	2.74324	-2.79287	0.0502656
0.1904	1.77706	2.65847	-2.71537	0.0574789
0.1904	1.84053	2.57482	-2.63755	0.0632391
0.1904	1.904	2.49239	-2.55956	0.0676202
0.1904	1.96746	2.41115	-2.48143	0.0706694
0.1904	2.03093	2.33092	-2.403	0.0724016
0.1904	2.0944	2.25135	-2.32389	0.0727929
0.1904	2.15786	2.17181	-2.2434	0.0717725
0.1904	2.22133	2.09132	-2.16041	0.069212
0.1904	2.28479	2.0084	-2.07325	0.064913
0.1904	2.34826	1.92087	-1.97947	0.0585915
0.1904	2.41173	1.82565	-1.87558	0.0498624
0.1904	2.47519	1.71841	-1.75676	0.0382246
0.1904	2.53866	1.59325	-1.61649	0.0230568
0.1904	2.60213	1.44251	-1.44638	0.00364009
0.1904	2.66559	1.25691	-1.2364	-0.0207618
0.1904	2.72906	1.02677	-0.976305	-0.0507093
0.1904	2.79253	0.745248	-0.659236	-0.0862077
