#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.9	0	0.203446	4	0.344039	5	
0.902	0	0.199308	4	0.337158	5	
0.904	0	0.195172	4	0.330276	5	
0.906	0	0.191039	4	0.323394	5	
0.908	0	0.186909	4	0.316513	5	
0.91	0	0.182782	4	0.309632	5	
0.912	0	0.178658	4	0.30275	5	
0.914	0	0.174537	4	0.295869	5	
0.916	0	0.170419	4	0.288987	5	
0.918	0	0.166303	4	0.282106	5	
0.92	0	0.162191	4	0.275225	5	
0.922	0	0.158081	4	0.268344	4	
0.924	0	0.153975	4	0.261462	4	
0.926	0	0.149871	4	0.254581	4	
0.928	0	0.14577	4	0.2477	4	
0.93	0	0.141672	4	0.240819	4	
0.932	0	0.137577	4	0.233938	4	
0.934	0	0.133484	4	0.227057	4	
0.936	0	0.129395	4	0.220176	4	
0.938	0	0.125308	4	0.213295	4	
0.94	0	0.121224	4	0.206414	4	
0.942	0	0.117143	4	0.199533	4	
0.944	0	0.113065	4	0.192652	4	
0.946	0	0.10899	4	0.185771	4	
0.948	0	0.104917	4	0.17889	4	
0.95	0	0.100847	4	0.17201	4	
0.952	0	0.0967804	4	0.165129	4	
0.954	0	0.0927162	4	0.158248	4	
0.956	0	0.0886549	4	0.151367	4	
0.958	0	0.0845963	4	0.144487	4	
0.96	0	0.0805405	4	0.137606	4	
0.962	0	0.0764875	4	0.130725	4	
0.964	0	0.0724372	4	0.123845	4	
0.966	0	0.0683897	4	0.116964	4	
0.968	0	0.064345	4	0.110084	4	
0.97	0	0.060303	4	0.103203	4	
0.972	0	0.0562638	4	0.0963228	4	
0.974	0	0.0522273	4	0.0894424	4	
0.976	0	0.0481935	4	0.082562	4	
0.978	0	0.0441625	4	0.0756817	4	
0.98	0	0.0401342	4	0.0688014	4	
0.982	0	0.0361086	4	0.0619211	4	
0.984	0	0.0320858	4	0.0550408	4	
0.986	0	0.0280656	4	0.0481606	4	
0.988	0	0.0240482	4	0.0412804	4	
0.99	0	0.0200334	4	0.0344003	4	
0.992	0	0.0160214	4	0.0275202	4	
0.994	0	0.012012	4	0.0206401	4	
0.996	0	0.00800534	4	0.01376	4	
0.998	0	0.00400133	4	0.00687999	4	
1	0	0	1	0	3	
1.002	0	0.00399867	4	0.00687996	4	
1.004	0	0.00799467	4	0.0137599	4	
1.006	0	0.011988	4	0.0206398	4	
1.008	0	0.0159787	4	0.0275196	4	
1.01	0	0.0199668	4	0.0343995	4	
1.012	0	0.0239522	4	0.0412793	4	
1.014	0	0.027935	4	0.048159	4	
1.016	0	0.0319151	4	0.0550388	4	
1.018	0	0.0358926	4	0.0619185	4	
1.02	0	0.0398676	4	0.0687982	4	
1.022	0	0.0438398	4	0.0756778	4	
1.024	0	0.0478095	4	0.0825574	4	
1.026	0	0.0517766	4	0.089437	4	
1.028	0	0.0557411	4	0.0963165	4	
1.03	0	0.059703	4	0.103196	4	
1.032	0	0.0636623	4	0.110076	4	
1.034	0	0.067619	4	0.116955	4	
1.036	0	0.0715732	4	0.123834	4	
1.038	0	0.0755247	4	0.130714	4	
1.04	0	0.0794737	4	0.137593	4	
1.042	0	0.0834202	4	0.144472	4	
1.044	0	0.0873641	4	0.151352	4	
1.046	0	0.0913054	4	0.158231	4	
1.048	0	0.0952442	4	0.16511	4	
1.05	0	0.0991804	4	0.171989	4	
1.052	0	0.103114	4	0.178869	4	
1.054	0	0.107045	4	0.185748	4	
1.056	0	0.110974	4	0.192627	4	
1.058	0	0.1149	4	0.199506	4	
1.06	0	0.118824	4	0.206385	4	
1.062	0	0.122745	4	0.213264	4	
1.064	0	0.126663	4	0.220143	4	
1.066	0	0.13058	4	0.227022	4	
1.068	0	0.134493	4	0.233901	4	
1.07	0	0.138404	4	0.240779	4	
1.072	0	0.142313	4	0.247658	4	
1.074	0	0.146219	4	0.254537	4	
1.076	0	0.150123	4	0.261416	4	
1.078	0	0.154024	4	0.268295	5	
1.08	0	0.157923	4	0.275173	5	
1.082	0	0.161819	4	0.282052	5	
1.084	0	0.165713	4	0.288931	5	
1.086	0	0.169604	4	0.295809	5	
1.088	0	0.173493	4	0.302688	5	
1.09	0	0.17738	4	0.309566	5	
1.092	0	0.181264	4	0.316445	5	
1.094	0	0.185145	4	0.323323	5	
1.096	0	0.189025	4	0.330202	5	
1.098	0	0.192901	4	0.33708	5	
1.1	0	0.196776	4	0.343959	5	

0.9	0.01	0.18845	4	0.336141	5	
0.902	0.01	0.184311	4	0.329264	5	
0.904	0.01	0.180175	4	0.322388	5	
0.906	0.01	0.176042	4	0.315511	5	
0.908	0.01	0.171912	4	0.308635	5	
0.91	0.01	0.167785	4	0.301759	4	
0.912	0.01	0.16366	4	0.294884	4	
0.914	0.01	0.159539	4	0.288008	4	
0.916	0.01	0.15542	4	0.281134	4	
0.918	0.01	0.151305	4	0.274259	4	
0.92	0.01	0.147192	4	0.267385	4	
0.922	0.01	0.143082	4	0.260511	4	
0.924	0.01	0.138975	4	0.253638	4	
0.926	0.01	0.134871	4	0.246765	4	
0.928	0.01	0.13077	4	0.239892	4	
0.93	0.01	0.126672	4	0.23302	4	
0.932	0.01	0.122576	4	0.226149	4	
0.934	0.01	0.118484	4	0.219279	4	
0.936	0.01	0.114394	4	0.212409	4	
0.938	0.01	0.110307	4	0.20554	4	
0.94	0.01	0.106223	4	0.198671	4	
0.942	0.01	0.102142	4	0.191804	4	
0.944	0.01	0.0980633	4	0.184938	4	
0.946	0.01	0.0939877	4	0.178073	4	
0.948	0.01	0.089915	4	0.171209	4	
0.95	0.01	0.0858451	4	0.164347	4	
0.952	0.01	0.081778	4	0.157486	4	
0.954	0.01	0.0777137	4	0.150627	4	
0.956	0.01	0.0736522	4	0.14377	4	
0.958	0.01	0.0695934	4	0.136916	4	
0.96	0.01	0.0655375	4	0.128835	4	
0.962	0.01	0.0614844	4	0.12207	4	
0.964	0.01	0.057434	4	0.115308	4	
0.966	0.01	0.0533864	4	0.108551	4	
0.968	0.01	0.0493416	4	0.1018	4	
0.97	0.01	0.0452995	4	0.0950555	4	
0.972	0.01	0.0412602	4	0.0883191	4	
0.974	0.01	0.0372236	4	0.081593	4	
0.976	0.01	0.0331898	4	0.0748799	4	
0.978	0.01	0.0291587	4	0.0681836	4	
0.98	0.01	0.0251303	4	0.0607813	4	
0.982	0.01	0.0211047	4	0.0542611	4	
0.984	0.01	0.0170818	4	0.0477838	4	
0.986	0.01	0.0130616	4	0.0408196	4	
0.988	0.01	0.00904409	4	0.0346635	4	
0.99	0.01	0.00502932	4	0.0283375	4	
0.992	0.01	0.00101724	4	0.0226176	4	
0.994	0.01	0.00299214	4	0.0177743	3	
0.996	0.01	0.00422443	3	0.0142461	4	
0.998	0.01	0.00114151	3	0.0123427	3	
1	0.01	1.36083e-05	4	0.0137387	4	
1.002	0.01	0.00110744	3	0.0185515	4	
1.004	0.01	0.00417117	3	0.0245759	4	
1.006	0.01	0.0030078	4	0.0306518	4	
1.008	0.01	0.00098291	4	0.03769	4	
1.01	0.01	0.00497098	4	0.0442521	4	
1.012	0.01	0.00895643	4	0.0508981	4	
1.014	0.01	0.0129392	4	0.0575991	4	
1.016	0.01	0.0169194	4	0.0643377	4	
1.018	0.01	0.020897	4	0.0711033	4	
1.02	0.01	0.024872	4	0.0778889	4	
1.022	0.01	0.0288443	4	0.0846896	4	
1.024	0.01	0.0328141	4	0.0915021	4	
1.026	0.01	0.0367812	4	0.0983239	4	
1.028	0.01	0.0407458	4	0.105153	4	
1.03	0.01	0.0447078	4	0.111989	4	
1.032	0.01	0.0486672	4	0.118829	4	
1.034	0.01	0.052624	4	0.125674	4	
1.036	0.01	0.0565782	4	0.132522	4	
1.038	0.01	0.0605299	4	0.139373	4	
1.04	0.01	0.064479	4	0.146227	4	
1.042	0.01	0.0684256	4	0.153083	4	
1.044	0.01	0.0723696	4	0.159941	4	
1.046	0.01	0.0763111	4	0.166801	4	
1.048	0.01	0.08025	4	0.173662	4	
1.05	0.01	0.0841864	4	0.180525	4	
1.052	0.01	0.0881203	4	0.187389	4	
1.054	0.01	0.0920516	4	0.194253	4	
1.056	0.01	0.0959804	4	0.201119	4	
1.058	0.01	0.0999068	4	0.207986	4	
1.06	0.01	0.103831	4	0.214853	4	
1.062	0.01	0.107752	4	0.221721	4	
1.064	0.01	0.111671	4	0.22859	4	
1.066	0.01	0.115587	4	0.235459	5	
1.068	0.01	0.119501	4	0.242329	5	
1.07	0.01	0.123412	4	0.249199	5	
