#1:t	2:m	3:gap1	4:kx_itr1	5:gap2	6:kx_itr2	7:...
0.2	0	0.321539	4	1.85354	5	
0.21	0	0.274219	4	1.82621	5	
0.22	0	0.226898	4	1.79903	5	
0.23	0	0.179578	4	1.77198	5	
0.24	0	0.132257	4	1.74507	5	
0.25	0	0.0849365	4	1.7183	5	
0.26	0	0.037616	4	1.69168	5	
0.27	0	0.00970453	4	1.6652	5	
0.28	0	0.057025	4	1.63886	5	
0.29	0	0.104346	4	1.61266	5	
0.3	0	0.151666	4	1.58661	5	
0.31	0	0.198987	4	1.5607	5	
0.32	0	0.246307	4	1.53495	5	
0.33	0	0.293628	4	1.50934	5	
0.34	0	0.340948	4	1.48387	5	
0.35	0	0.388269	4	1.45856	5	
0.36	0	0.435589	4	1.4334	5	
0.37	0	0.48291	4	1.40839	5	
0.38	0	0.53023	4	1.38354	5	
0.39	0	0.577551	4	1.35884	5	

0.2	0.01	0.318363	3	1.86826	5	
0.21	0.01	0.271043	3	1.84096	5	
0.22	0.01	0.223723	3	1.8138	5	
0.23	0.01	0.176403	3	1.78678	5	
0.24	0.01	0.129083	4	1.7599	5	
0.25	0.01	0.0817626	4	1.73316	5	
0.26	0.01	0.0344427	4	1.70656	5	
0.27	0.01	0.00653734	4	1.6801	5	
0.28	0.01	0.0538572	4	1.65378	5	
0.29	0.01	0.101177	4	1.62761	5	
0.3	0.01	0.148497	4	1.60158	5	
0.31	0.01	0.195816	4	1.5757	5	
0.32	0.01	0.243136	4	1.54996	5	
0.33	0.01	0.290455	3	1.52437	5	
0.34	0.01	0.337775	3	1.49893	5	
0.35	0.01	0.385094	3	1.47364	5	
0.36	0.01	0.432413	3	1.44849	5	
0.37	0.01	0.479732	3	1.4235	5	
0.38	0.01	0.52705	4	1.39866	5	
0.39	0.01	0.574368	3	1.37398	5	

0.2	0.02	0.315173	4	1.88298	5	
0.21	0.02	0.267854	4	1.8557	5	
0.22	0.02	0.220536	4	1.82857	5	
0.23	0.02	0.173217	4	1.80158	5	
0.24	0.02	0.125899	3	1.77472	5	
0.25	0.02	0.0785807	3	1.748	5	
0.26	0.02	0.0312627	3	1.72143	5	
0.27	0.02	0.00337547	4	1.695	5	
0.28	0.02	0.0506932	4	1.6687	5	
0.29	0.02	0.0980108	4	1.64255	5	
0.3	0.02	0.145328	4	1.61655	5	
0.31	0.02	0.192645	4	1.59068	5	
0.32	0.02	0.239962	3	1.56497	5	
0.33	0.02	0.287278	3	1.5394	5	
0.34	0.02	0.334594	3	1.51397	5	
0.35	0.02	0.381909	4	1.4887	5	
0.36	0.02	0.429224	3	1.46357	5	
0.37	0.02	0.476538	3	1.4386	5	
0.38	0.02	0.523851	4	1.41377	5	
0.39	0.02	0.571162	3	1.3891	5	

0.2	0.03	0.31197	3	1.89768	5	
0.21	0.03	0.264653	4	1.87044	5	
0.22	0.03	0.217337	4	1.84333	5	
0.23	0.03	0.170021	4	1.81636	5	
0.24	0.03	0.122706	4	1.78953	5	
0.25	0.03	0.0753906	4	1.76284	5	
0.26	0.03	0.0280756	4	1.73629	5	
0.27	0.03	0.000218804	5	1.70988	5	
0.28	0.03	0.0475332	3	1.68361	5	
0.29	0.03	0.094847	4	1.65749	5	
0.3	0.03	0.14216	4	1.6315	5	
0.31	0.03	0.189473	4	1.60566	5	
0.32	0.03	0.236785	3	1.57996	5	
0.33	0.03	0.284096	3	1.55441	5	
0.34	0.03	0.331406	4	1.52901	5	
0.35	0.03	0.378715	3	1.50375	5	
0.36	0.03	0.426023	3	1.47864	5	
0.37	0.03	0.473329	3	1.45368	5	
0.38	0.03	0.520632	3	1.42887	5	
0.39	0.03	0.567933	3	1.40422	5	

0.2	0.04	0.308753	3	1.91238	5	
0.21	0.04	0.26144	3	1.88516	5	
0.22	0.04	0.214127	3	1.85809	5	
0.23	0.04	0.166815	3	1.83114	5	
0.24	0.04	0.119503	4	1.80434	5	
0.25	0.04	0.0721921	4	1.77767	5	
0.26	0.04	0.0248814	4	1.75115	5	
0.27	0.04	0.00293277	4	1.72476	5	
0.28	0.04	0.0443768	4	1.69851	5	
0.29	0.04	0.0916856	3	1.67241	5	
0.3	0.04	0.138993	4	1.64645	5	
0.31	0.04	0.1863	4	1.62063	5	
0.32	0.04	0.233606	3	1.59495	5	
0.33	0.04	0.28091	4	1.56942	5	
0.34	0.04	0.328212	3	1.54403	5	
0.35	0.04	0.375512	3	1.51879	5	
0.36	0.04	0.42281	3	1.4937	5	
0.37	0.04	0.470104	4	1.46875	5	
0.38	0.04	0.517394	3	1.44396	5	
0.39	0.04	0.56468	3	1.41932	5	

0.2	0.05	0.305522	4	1.92707	5	
0.21	0.05	0.258213	4	1.89988	5	
0.22	0.05	0.210905	4	1.87283	5	
0.23	0.05	0.163598	4	1.84591	5	
0.24	0.05	0.116291	3	1.81914	5	
0.25	0.05	0.0689851	4	1.79249	5	
0.26	0.05	0.0216801	4	1.76599	5	
0.27	0.05	0.00607936	4	1.73963	5	
0.28	0.05	0.0412242	4	1.71341	5	
0.29	0.05	0.0885265	3	1.68732	5	
0.3	0.05	0.135827	4	1.66138	5	
0.31	0.05	0.183126	4	1.63558	5	
0.32	0.05	0.230424	3	1.60993	5	
0.33	0.05	0.277719	4	1.58441	5	
0.34	0.05	0.325011	3	1.55904	5	
0.35	0.05	0.3723	3	1.53382	5	
0.36	0.05	0.419585	4	1.50875	5	
0.37	0.05	0.466865	3	1.48382	5	
0.38	0.05	0.514139	3	1.45904	5	
0.39	0.05	0.561405	3	1.43441	5	

0.2	0.06	0.302277	3	1.94176	5	
0.21	0.06	0.254974	3	1.91459	5	
0.22	0.06	0.207671	4	1.88757	5	
0.23	0.06	0.160369	4	1.86068	5	
0.24	0.06	0.113069	4	1.83392	5	
0.25	0.06	0.0657694	3	1.80731	5	
0.26	0.06	0.0184713	4	1.78083	5	
0.27	0.06	0.00886701	4	1.75449	5	
0.28	0.06	0.0380751	4	1.72829	5	
0.29	0.06	0.0853695	3	1.70223	5	
0.3	0.06	0.132662	4	1.67631	5	
0.31	0.06	0.179952	4	1.65053	5	
0.32	0.06	0.227239	3	1.62489	5	
0.33	0.06	0.274523	4	1.5994	5	
0.34	0.06	0.321803	4	1.57405	5	
0.35	0.06	0.369078	3	1.54884	5	
0.36	0.06	0.416348	3	1.52378	5	
0.37	0.06	0.463611	3	1.49887	5	
0.38	0.06	0.510865	3	1.4741	5	
0.39	0.06	0.558108	3	1.44949	5	

0.2	0.07	0.299018	4	1.95643	5	
0.21	0.07	0.251721	4	1.9293	5	
0.22	0.07	0.204425	3	1.9023	5	
0.23	0.07	0.15713	4	1.87543	5	
0.24	0.07	0.109837	4	1.8487	5	
0.25	0.07	0.062545	4	1.82211	5	
0.26	0.07	0.0386422	4	1.79566	5	
0.27	0.07	0.00856445	4	1.76934	5	
0.28	0.07	0.0557619	4	1.74316	5	
0.29	0.07	0.0822147	4	1.71712	5	
0.3	0.07	0.129497	4	1.69122	5	
0.31	0.07	0.176776	4	1.66547	5	
0.32	0.07	0.224052	4	1.63985	5	
0.33	0.07	0.271322	3	1.61437	5	
0.34	0.07	0.318588	4	1.58904	5	
0.35	0.07	0.365848	4	1.56385	5	
0.36	0.07	0.4131	3	1.53881	5	
0.37	0.07	0.460342	3	1.51391	5	
