#1:t	2:iband1	3:iband2	4:...
4	0.000494703	6.12533e-08	1.89817e-07	
4.1	1.74548e-07	0.00014036	3.02156e-07	
4.2	8.88651e-08	1.76913e-07	2.98162e-07	
4.3	5.17144e-08	3.96854e-08	4.18355e-09	
4.4	7.59173e-08	1.30226e-07	1.32374e-07	
4.5	1.60608e-08	4.955e-09	4.44864e-08	
4.6	7.05779e-08	6.66009e-08	5.22517e-08	
4.7	1.45752e-07	8.3772e-08	1.05163e-07	
4.8	6.69225e-08	1.03142e-07	3.47917e-07	
4.9	5.02866e-08	2.63415e-08	2.11819e-07	
5	8.13725e-08	5.05067e-09	9.03071e-08	
5.1	3.0559e-08	1.63072e-07	2.41941e-07	
5.2	3.72626e-08	4.52126e-08	2.50381e-07	
5.3	5.73128e-09	1.16848e-08	7.8127e-08	
5.4	6.66681e-08	1.37233e-07	8.358e-08	
5.5	3.22062e-08	5.05729e-09	1.19322e-07	
5.6	1.08223e-07	2.64307e-08	7.61265e-08	
5.7	1.67732e-07	1.81262e-07	1.97251e-07	
5.8	1.88181e-07	9.24599e-08	2.43253e-07	
5.9	1.25877e-07	3.55992e-08	5.68297e-08	
6	4.64148e-08	4.36897e-08	1.7371e-07	
6.1	7.47697e-08	5.86049e-08	1.80912e-07	
6.2	1.58979e-07	4.88914e-08	4.48002e-07	
6.3	3.04252e-08	5.00586e-08	1.3388e-07	
6.4	8.00859e-08	1.23353e-07	1.6168e-07	
6.5	1.19836e-07	1.00566e-07	2.54175e-08	
6.6	3.90494e-08	1.57134e-07	1.21879e-08	
6.7	7.99291e-08	8.07796e-08	1.26047e-07	
6.8	7.38019e-08	4.0793e-08	2.41353e-07	
6.9	1.37909e-08	7.5936e-08	1.79319e-07	
7	4.85541e-08	3.36832e-08	2.63623e-07	
7.1	7.77236e-08	8.5092e-08	2.47473e-07	
7.2	5.30263e-08	4.26435e-07	1.4773e-07	
7.3	9.40011e-08	1.12607e-06	6.12593e-07	
7.4	2.66101e-08	6.14742e-08	7.85911e-07	
7.5	1.22564e-07	2.974e-07	1.81056e-07	
7.6	3.71245e-08	1.42882e-07	9.13539e-07	
7.7	5.60937e-08	2.01756e-07	2.04156e-07	
7.8	6.70239e-08	2.52124e-07	2.26229e-07	
7.9	8.59512e-09	5.21238e-07	3.55305e-07	
8	1.96657e-08	1.52831e-07	3.98964e-07	
8.1	2.49824e-08	1.32541e-07	3.14269e-07	
8.2	2.24684e-08	4.65853e-07	1.2457e-07	
8.3	1.26736e-07	4.17072e-08	2.63348e-07	
8.4	9.79522e-08	3.15625e-08	2.02395e-07	
8.5	8.21987e-08	3.15666e-07	3.88759e-07	
8.6	6.96482e-08	2.11387e-07	1.62068e-07	
8.7	1.70469e-07	2.02994e-07	5.06411e-07	
8.8	6.10073e-08	2.69595e-07	2.482e-07	
8.9	4.53168e-08	2.37593e-07	3.01061e-07	
9	1.34589e-07	1.08535e-07	3.22324e-07	
9.1	1.39143e-07	1.30392e-07	1.19624e-07	
9.2	2.63734e-08	1.01327e-07	4.17674e-08	
9.3	2.58706e-08	5.18842e-08	1.0477e-07	
9.4	1.45498e-08	6.57452e-08	1.05798e-07	
9.5	5.31843e-08	1.54434e-08	1.77655e-07	
9.6	8.72252e-08	1.50275e-07	4.78283e-07	
9.7	9.43981e-08	1.97473e-07	3.4934e-07	
9.8	7.8212e-08	3.13485e-07	3.53634e-07	
9.9	1.55719e-08	2.77639e-07	2.63054e-07	
