#1:kx	2:ky0	3:abs1	4:ang1	5:abs2	6:ang2	7:...
0	0	0.980378	0	0.792704	0	0.772823	0	0.932491	0	
0.0628319	0	0.980434	-0.060756	0.792705	-0.29696	0.773078	0.181638	0.932381	0.17637	
0.125664	0	0.980589	-0.118616	0.792686	-0.612958	0.773801	0.381028	0.93206	0.351129	
0.188496	0	0.980812	-0.171318	0.792591	-0.962696	0.774894	0.61143	0.931552	0.523445	
0.251327	0	0.981065	-0.217559	0.792377	-1.3542	0.77627	0.879349	0.930902	0.693539	
0.314159	0	0.981312	-0.256963	0.792037	-1.78901	0.777884	1.18496	0.930165	0.862377	
0.376991	0	0.981527	-0.289809	0.791607	-2.26387	0.779743	1.5241	0.929398	1.03116	
0.439823	0	0.981697	-0.316732	0.791154	-2.77287	0.781886	1.89046	0.928653	1.2009	
0.502655	0	0.981812	-0.338491	0.790761	2.97407	0.784355	2.27726	0.927964	1.37225	
0.565487	0	0.981873	-0.355825	0.790507	2.41741	0.787189	2.67814	0.927355	1.54547	
0.628319	0	0.98188	-0.369386	0.790466	1.84654	0.79041	3.08761	0.926838	1.72052	
0.69115	0	0.981837	-0.379716	0.790695	1.2668	0.794026	-2.78206	0.926414	1.89713	
0.753982	0	0.981747	-0.38725	0.79124	0.68265	0.798032	-2.36815	0.926081	2.07492	
0.816814	0	0.981614	-0.392327	0.79213	0.0977579	0.802412	-1.95673	0.925831	2.25346	
0.879646	0	0.981442	-0.395204	0.793385	-0.484926	0.807145	-1.55003	0.925654	2.43229	
0.942478	0	0.981233	-0.396073	0.795013	-1.06305	0.812204	-1.1498	0.925541	2.611	
1.00531	0	0.98099	-0.395073	0.797015	-1.63475	0.817558	-0.757367	0.92548	2.78921	
1.06814	0	0.980714	-0.392302	0.799384	-2.19859	0.823176	-0.373755	0.92546	2.96658	
1.13097	0	0.980408	-0.387825	0.802109	-2.75346	0.829027	0.000278593	0.925471	-3.14034	
1.19381	0	0.980072	-0.381679	0.805174	2.98467	0.835079	0.364167	0.925503	-2.96543	
1.25664	0	0.979708	-0.373885	0.808561	2.45005	0.841299	0.717499	0.925546	-2.79204	
1.31947	0	0.979315	-0.364449	0.812248	1.92628	0.847659	1.05998	0.925592	-2.62032	
1.3823	0	0.978896	-0.353366	0.816214	1.41369	0.854128	1.39141	0.925633	-2.45037	
1.44513	0	0.978449	-0.340626	0.820434	0.912466	0.860678	1.71166	0.92566	-2.28225	
1.50796	0	0.977977	-0.326218	0.824884	0.422722	0.867282	2.02063	0.925666	-2.11602	
1.5708	0	0.977478	-0.310131	0.829538	-0.0554705	0.873913	2.31829	0.925645	-1.9517	
1.63363	0	0.976954	-0.29236	0.83437	-0.52207	0.880545	2.60458	0.925589	-1.7893	
1.69646	0	0.976405	-0.272906	0.839351	-0.977038	0.887151	2.87949	0.925491	-1.62881	
1.75929	0	0.975834	-0.251785	0.844452	-1.42031	0.893705	-3.14021	0.925344	-1.47026	
1.82212	0	0.97524	-0.229027	0.849641	-1.8518	0.900178	-2.8882	0.925138	-1.31366	
1.88496	0	0.974627	-0.204684	0.854883	-2.2713	0.906541	-2.64777	0.924863	-1.15903	
1.94779	0	0.973997	-0.178834	0.860139	-2.67856	0.912759	-2.41905	0.924508	-1.00644	
2.01062	0	0.973353	-0.151584	0.865363	-3.07314	0.918796	-2.20224	0.924056	-0.856009	
2.07345	0	0.972701	-0.123081	0.870502	2.82875	0.92461	-1.99761	0.923487	-0.707917	
2.13628	0	0.972045	-0.0935132	0.875492	2.46156	0.93015	-1.80553	0.922775	-0.562445	
2.19911	0	0.971393	-0.0631209	0.880254	2.10964	0.935359	-1.62648	0.921883	-0.420018	
2.26195	0	0.970754	-0.0322029	0.884689	1.77452	0.940171	-1.46106	0.920761	-0.281269	
2.32478	0	0.970138	-0.00112297	0.888672	1.45826	0.944508	-1.31004	0.91934	-0.147132	
2.38761	0	0.969558	0.0296829	0.892041	1.16358	0.948284	-1.17431	0.917521	-0.0189884	
2.45044	0	0.969027	0.0597018	0.894582	0.894122	0.9514	-1.05495	0.915159	0.101112	
2.51327	0	0.968564	0.0883421	0.896008	0.65474	0.953754	-0.95317	0.912043	0.21011	
2.57611	0	0.968186	0.114935	0.895928	0.452028	0.95524	-0.870288	0.907856	0.303409	
2.63894	0	0.967913	0.138743	0.893792	0.295039	0.955761	-0.807671	0.902121	0.37406	
2.70177	0	0.967765	0.158973	0.888821	0.1964	0.955235	-0.766617	0.89412	0.41153	
2.7646	0	0.967758	0.174798	0.879919	0.173902	0.95361	-0.748197	0.882795	0.399927	
2.82743	0	0.967899	0.185387	0.865606	0.252527	0.950871	-0.753047	0.866678	0.315738	
2.89027	0	0.968176	0.189944	0.844139	0.466152	0.947047	-0.78111	0.844	0.125824	
2.9531	0	0.968542	0.187782	0.814153	0.856311	0.942203	-0.831337	0.813324	-0.211711	
3.01593	0	0.968902	0.178462	0.77619	1.46222	0.936432	-0.90136	0.775085	-0.73801	
3.07876	0	0.969115	0.162027	0.734561	2.29584	0.929859	-0.987218	0.733432	-1.46904	
3.14159	0	0.96904	0.13925	0.696851	-2.97301	0.922666	-1.08331	0.695766	-2.3642	
3.20442	0	0.968616	0.111593	0.669369	-1.88662	0.915139	-1.18288	0.668207	2.96015	
3.26726	0	0.967906	0.0807401	0.65303	-0.849098	0.907647	-1.27899	0.651515	2.0499	
3.33009	0	0.967055	0.0480573	0.644636	0.0638579	0.900553	-1.3655	0.642389	1.25643	
3.39292	0	0.9662	0.0144333	0.640571	0.833428	0.894123	-1.43758	0.637172	0.592806	
