#1:k	2:erg1	3:erg2	4:erg3

1.81318	-1.25281	0.970768	1.25281

1.82578	-1.23956	0.967669	1.23956

1.83837	-1.22632	0.964416	1.22632

1.85096	-1.2131	0.961011	1.2131

1.86355	-1.19992	0.957453	1.19992

1.87614	-1.18675	0.953743	1.18675

1.88873	-1.17362	0.949882	1.17362

1.90132	-1.16051	0.945871	1.16051

1.91392	-1.14744	0.94171	1.14744

1.92651	-1.1344	0.937399	1.1344

1.9391	-1.12139	0.93294	1.12139

1.95169	-1.10842	0.928332	1.10842

1.96428	-1.09549	0.923578	1.09549

1.97687	-1.08259	0.918677	1.08259

1.98947	-1.06974	0.913631	1.06974

2.00206	-1.05692	0.908439	1.05692

2.01465	-1.04415	0.903104	1.04415

2.02724	-1.03143	0.897626	1.03143

2.03983	-1.01875	0.892005	1.01875

2.05242	-1.00611	0.886242	1.00611

2.06501	-0.99353	0.88034	0.99353

2.07761	-0.980996	0.874297	0.980996

2.0902	-0.968514	0.868116	0.968514

2.10279	-0.956085	0.861798	0.956085

2.11538	-0.94371	0.855343	0.94371

2.12797	-0.93139	0.848752	0.93139

2.14056	-0.919127	0.842026	0.919127

2.15316	-0.906923	0.835167	0.906923

2.16575	-0.894777	0.828176	0.894777

2.17834	-0.882693	0.821053	0.882693

2.19093	-0.87067	0.813801	0.87067

2.20352	-0.858711	0.806419	0.858711

2.21611	-0.846817	0.798909	0.846817

2.22871	-0.834988	0.791273	0.834988

2.2413	-0.823226	0.783511	0.823226

2.25389	-0.811532	0.775625	0.811532

2.26648	-0.799908	0.767616	0.799908

2.27907	-0.788355	0.759485	0.788355

2.29166	-0.776874	0.751234	0.776874

2.30425	-0.765465	0.742864	0.765465

2.31685	-0.754132	0.734376	0.754132

2.32944	-0.742873	0.725772	0.742873

2.34203	-0.731692	0.717052	0.731692

2.35462	-0.720589	0.708219	0.720589

2.36721	-0.709565	0.699273	0.709565

2.3798	-0.698622	0.690217	0.698622

2.3924	-0.687761	0.681051	0.687761

2.40499	-0.676983	0.671778	0.676983

2.41758	-0.666289	0.662397	0.666289

2.43017	-0.655681	0.652912	0.655681

2.44276	-0.645161	0.643323	0.645161

2.45535	-0.634729	0.633633	0.634729

2.46794	-0.624387	0.623841	0.624387

2.48054	-0.614136	0.613951	0.614136

2.49313	-0.603979	0.603964	0.603979

2.50572	-0.593915	0.59388	0.593915

2.51831	-0.583948	0.583703	0.583948

2.5309	-0.574079	0.573433	0.574079

2.54349	-0.564309	0.563072	0.564309

2.55609	-0.554641	0.552622	0.554641

2.56868	-0.545076	0.542084	0.545076

2.58127	-0.535616	0.531461	0.535616

2.59386	-0.526263	0.520753	0.526263

2.60645	-0.517019	0.509962	0.517019

2.61904	-0.507887	0.499091	0.507887

2.63163	-0.498869	0.488141	0.498869

2.64423	-0.489968	0.477113	0.489968

2.65682	-0.481186	0.466009	0.481186

2.66941	-0.472526	0.454832	0.472526

2.682	-0.46399	0.443582	0.46399

2.69459	-0.455583	0.432262	0.455583

2.70718	-0.447307	0.420874	0.447307

2.71978	-0.439167	0.409419	0.439167

2.73237	-0.431164	0.397899	0.431164

2.74496	-0.423305	0.386316	0.423305

2.75755	-0.415592	0.374671	0.415592

2.77014	-0.408031	0.362968	0.408031

2.78273	-0.400625	0.351206	0.400625

2.79532	-0.39338	0.339389	0.39338

2.80792	-0.386301	0.327519	0.386301

2.82051	-0.379394	0.315596	0.379394

2.8331	-0.372663	0.303623	0.372663

2.84569	-0.366116	0.291602	0.366116

2.85828	-0.359759	0.279535	0.359759

2.87087	-0.353598	0.267424	0.353598

2.88347	-0.34764	0.25527	0.34764

2.89606	-0.341893	0.243076	0.341893

2.90865	-0.336363	0.230843	0.336363

2.92124	-0.331059	0.218573	0.331059

2.93383	-0.325988	0.206269	0.325988

2.94642	-0.321158	0.193932	0.321158

2.95902	-0.316578	0.181565	0.316578

2.97161	-0.312255	0.169169	0.312255

2.9842	-0.308198	0.156745	0.308198

2.99679	-0.304415	0.144297	0.304415

3.00938	-0.300913	0.131826	0.300913

3.02197	-0.297701	0.119335	0.297701

3.03456	-0.294787	0.106824	0.294787

3.04716	-0.292176	0.0942963	0.292176

3.05975	-0.289876	0.0817538	0.289876

3.07234	-0.287893	0.0691982	0.287893

3.08493	-0.286231	0.0566317	0.286231

3.09752	-0.284897	0.0440562	0.284897

3.11011	-0.283892	0.0314737	0.283892

3.12271	-0.283221	0.0188862	0.283221

3.1353	-0.282885	0.00629574	0.282885

3.14789	-0.282885	-0.00629574	0.282885

3.16048	-0.283221	-0.0188862	0.283221

3.17307	-0.283892	-0.0314737	0.283892

3.18566	-0.284897	-0.0440562	0.284897

3.19825	-0.286231	-0.0566317	0.286231

3.21085	-0.287893	-0.0691982	0.287893

3.22344	-0.289876	-0.0817538	0.289876

3.23603	-0.292176	-0.0942963	0.292176

3.24862	-0.294787	-0.106824	0.294787

3.26121	-0.297701	-0.119335	0.297701

3.2738	-0.300913	-0.131826	0.300913

3.2864	-0.304415	-0.144297	0.304415

3.29899	-0.308198	-0.156745	0.308198

3.31158	-0.312255	-0.169169	0.312255

3.32417	-0.316578	-0.181565	0.316578

3.33676	-0.321158	-0.193932	0.321158

3.34935	-0.325988	-0.206269	0.325988

3.36194	-0.331059	-0.218573	0.331059

3.37454	-0.336363	-0.230843	0.336363

3.38713	-0.341893	-0.243076	0.341893

3.39972	-0.34764	-0.25527	0.34764

3.41231	-0.353598	-0.267424	0.353598

3.4249	-0.359759	-0.279535	0.359759

3.43749	-0.366116	-0.291602	0.366116

3.45009	-0.372663	-0.303623	0.372663

3.46268	-0.379394	-0.315596	0.379394

3.47527	-0.386301	-0.327519	0.386301

3.48786	-0.39338	-0.339389	0.39338

3.50045	-0.400625	-0.351206	0.400625

