#1:kx	2:ky	3:max_coef	4:target_bands
0.10472	0.020944	0.0945396	(0, 1, 2, 3, 4)
0.10472	0.0418879	0.0945407	(0, 1, 2, 3, 4)
0.10472	0.0628319	0.0945426	(0, 1, 2, 3, 4)
0.10472	0.0837758	0.0945451	(0, 1, 2, 3, 4)
0.10472	0.10472	0.0945484	(0, 1, 2, 3, 4)
0.10472	0.125664	0.0945524	(0, 1, 2, 3, 4)
0.10472	0.146608	0.0945572	(0, 1, 2, 3, 4)
0.10472	0.167552	0.0945627	(0, 1, 2, 3, 4)
0.10472	0.188496	0.0945689	(0, 1, 2, 3, 4)
0.10472	0.20944	0.0945759	(0, 1, 2, 3, 4)
0.10472	0.230383	0.0945836	(0, 1, 2, 3, 4)
0.10472	0.251327	0.094592	(0, 1, 2, 3, 4)
0.10472	0.272271	0.0946012	(0, 1, 2, 3, 4)
0.10472	0.293215	0.0946112	(0, 1, 2, 3, 4)
0.10472	0.314159	0.0946219	(0, 1, 2, 3, 4)
0.10472	0.335103	0.0946333	(0, 1, 2, 3, 4)
0.10472	0.356047	0.0946455	(0, 1, 2, 3, 4)
0.10472	0.376991	0.0946585	(0, 1, 2, 3, 4)
0.10472	0.397935	0.0946722	(0, 1, 2, 3, 4)

0.125664	0	0.0904947	(0, 1, 2, 3, 4)
0.125664	0.020944	0.0904952	(0, 1, 2, 3, 4)
0.125664	0.0418879	0.0904968	(0, 1, 2, 3, 4)
0.125664	0.0628319	0.0904993	(0, 1, 2, 3, 4)
0.125664	0.0837758	0.0905028	(0, 1, 2, 3, 4)
0.125664	0.10472	0.0905074	(0, 1, 2, 3, 4)
0.125664	0.125664	0.090513	(0, 1, 2, 3, 4)
0.125664	0.146608	0.0905196	(0, 1, 2, 3, 4)
0.125664	0.167552	0.0905272	(0, 1, 2, 3, 4)
0.125664	0.188496	0.0905358	(0, 1, 2, 3, 4)
0.125664	0.20944	0.0905454	(0, 1, 2, 3, 4)
0.125664	0.230383	0.090556	(0, 1, 2, 3, 4)
0.125664	0.251327	0.0905676	(0, 1, 2, 3, 4)
0.125664	0.272271	0.0905803	(0, 1, 2, 3, 4)
0.125664	0.293215	0.0905939	(0, 1, 2, 3, 4)
0.125664	0.314159	0.0906085	(0, 1, 2, 3, 4)
0.125664	0.335103	0.0906241	(0, 1, 2, 3, 4)
0.125664	0.356047	0.0906407	(0, 1, 2, 3, 4)
0.125664	0.376991	0.0906583	(0, 1, 2, 3, 4)
0.125664	0.397935	0.0906768	(0, 1, 2, 3, 4)

0.146608	0	0.086734	(0, 1, 2, 3, 4)
0.146608	0.020944	0.0867345	(0, 1, 2, 3, 4)
0.146608	0.0418879	0.0867363	(0, 1, 2, 3, 4)
0.146608	0.0628319	0.0867393	(0, 1, 2, 3, 4)
0.146608	0.0837758	0.0867434	(0, 1, 2, 3, 4)
0.146608	0.10472	0.0867488	(0, 1, 2, 3, 4)
0.146608	0.125664	0.0867553	(0, 1, 2, 3, 4)
0.146608	0.146608	0.086763	(0, 1, 2, 3, 4)
0.146608	0.167552	0.0867718	(0, 1, 2, 3, 4)
0.146608	0.188496	0.0867819	(0, 1, 2, 3, 4)
0.146608	0.20944	0.0867931	(0, 1, 2, 3, 4)
0.146608	0.230383	0.0868054	(0, 1, 2, 3, 4)
0.146608	0.251327	0.086819	(0, 1, 2, 3, 4)
0.146608	0.272271	0.0868336	(0, 1, 2, 3, 4)
0.146608	0.293215	0.0868494	(0, 1, 2, 3, 4)
0.146608	0.314159	0.0868664	(0, 1, 2, 3, 4)
0.146608	0.335103	0.0868845	(0, 1, 2, 3, 4)
0.146608	0.356047	0.0869037	(0, 1, 2, 3, 4)
0.146608	0.376991	0.0869241	(0, 1, 2, 3, 4)
0.146608	0.397935	0.0869455	(0, 1, 2, 3, 4)

0.167552	0	0.0832524	(0, 1, 2, 3, 4)
0.167552	0.020944	0.0832531	(0, 1, 2, 3, 4)
0.167552	0.0418879	0.083255	(0, 1, 2, 3, 4)
0.167552	0.0628319	0.0832582	(0, 1, 2, 3, 4)
0.167552	0.0837758	0.0832627	(0, 1, 2, 3, 4)
0.167552	0.10472	0.0832684	(0, 1, 2, 3, 4)
0.167552	0.125664	0.0832754	(0, 1, 2, 3, 4)
0.167552	0.146608	0.0832837	(0, 1, 2, 3, 4)
0.167552	0.167552	0.0832933	(0, 1, 2, 3, 4)
0.167552	0.188496	0.0833041	(0, 1, 2, 3, 4)
0.167552	0.20944	0.0833162	(0, 1, 2, 3, 4)
0.167552	0.230383	0.0833295	(0, 1, 2, 3, 4)
0.167552	0.251327	0.083344	(0, 1, 2, 3, 4)
0.167552	0.272271	0.0833598	(0, 1, 2, 3, 4)
