#1:kx	2:ky	3:erg1	4:erg2	5:...
0	0	-5.25528	-0.87758	-5.2108e-16	6.13286
0	0.10472	-5.2536	-0.893607	0.0152474	6.13196
0	0.20944	-5.24857	-0.938687	0.0579824	6.12928
0	0.314159	-5.24019	-1.00608	0.121448	6.12482
0	0.418879	-5.22847	-1.08899	0.198839	6.11863
0	0.523599	-5.21342	-1.18232	0.284997	6.11074
0	0.628319	-5.19505	-1.28258	0.37642	6.10121
0	0.733038	-5.17337	-1.38752	0.470781	6.09011
0	0.837758	-5.1484	-1.49562	0.566507	6.07751
0	0.942478	-5.12016	-1.60585	0.662487	6.06352
0	1.0472	-5.08867	-1.71748	0.757902	6.04825
0	1.15192	-5.05396	-1.82995	0.852111	6.0318
0	1.25664	-5.01605	-1.94287	0.944588	6.01433
0	1.36136	-4.97498	-2.05589	1.03488	5.99599
0	1.46608	-4.93078	-2.16874	1.12258	5.97694
0	1.5708	-4.88348	-2.28119	1.20732	5.95736
0	1.67552	-4.83313	-2.39305	1.28874	5.93745
0	1.78024	-4.77977	-2.50414	1.36649	5.91742
0	1.88496	-4.72344	-2.61429	1.44024	5.89749
0	1.98968	-4.66419	-2.72335	1.50966	5.87789
0	2.0944	-4.60209	-2.83119	1.57442	5.85886
0	2.19911	-4.5372	-2.93766	1.63421	5.84066
0	2.30383	-4.4696	-3.04263	1.68871	5.82352
0	2.40855	-4.39937	-3.14595	1.73763	5.80769
0	2.51327	-4.32663	-3.24745	1.78067	5.79341
0	2.61799	-4.25155	-3.34693	1.81759	5.78089
0	2.72271	-4.17441	-3.44408	1.84814	5.77035
0	2.82743	-4.09577	-3.53832	1.87213	5.76196
0	2.93215	-4.01703	-3.6282	1.88938	5.75585
0	3.03687	-3.94348	-3.70846	1.89979	5.75214
0	3.14159	-3.90326	-3.7509	1.90326	5.7509
0	3.24631	-3.94348	-3.70846	1.89979	5.75214
0	3.35103	-4.01703	-3.6282	1.88938	5.75585
0	3.45575	-4.09577	-3.53832	1.87213	5.76196
0	3.56047	-4.17441	-3.44408	1.84814	5.77035
0	3.66519	-4.25155	-3.34693	1.81759	5.78089
0	3.76991	-4.32663	-3.24745	1.78067	5.79341
0	3.87463	-4.39937	-3.14595	1.73763	5.80769
0	3.97935	-4.4696	-3.04263	1.68871	5.82352
0	4.08407	-4.5372	-2.93766	1.63421	5.84066
0	4.18879	-4.60209	-2.83119	1.57442	5.85886
0	4.29351	-4.66419	-2.72335	1.50966	5.87789
0	4.39823	-4.72344	-2.61429	1.44024	5.89749
0	4.50295	-4.77977	-2.50414	1.36649	5.91742
0	4.60767	-4.83313	-2.39305	1.28874	5.93745
0	4.71239	-4.88348	-2.28119	1.20732	5.95736
0	4.81711	-4.93078	-2.16874	1.12258	5.97694
0	4.92183	-4.97498	-2.05589	1.03488	5.99599
0	5.02655	-5.01605	-1.94287	0.944588	6.01433
0	5.13127	-5.05396	-1.82995	0.852111	6.0318
0	5.23599	-5.08867	-1.71748	0.757902	6.04825
0	5.34071	-5.12016	-1.60585	0.662487	6.06352
0	5.44543	-5.1484	-1.49562	0.566507	6.07751
0	5.55015	-5.17337	-1.38752	0.470781	6.09011
0	5.65487	-5.19505	-1.28258	0.37642	6.10121
0	5.75959	-5.21342	-1.18232	0.284997	6.11074
0	5.86431	-5.22847	-1.08899	0.198839	6.11863
0	5.96903	-5.24019	-1.00608	0.121448	6.12482
0	6.07375	-5.24857	-0.938687	0.0579824	6.12928
0	6.17847	-5.2536	-0.893607	0.0152474	6.13196

0.10472	0	-5.22847	-1.08899	0.198839	6.11863
0.10472	0.10472	-5.21376	-1.18036	0.283206	6.11091
0.10472	0.20944	-5.19572	-1.27912	0.373289	6.10156
0.10472	0.314159	-5.17438	-1.38289	0.46665	6.09062
0.10472	0.418879	-5.14975	-1.49007	0.561631	6.07819
0.10472	0.523599	-5.12185	-1.59957	0.657061	6.06435
0.10472	0.628319	-5.0907	-1.7106	0.752076	6.04922
0.10472	0.733038	-5.05633	-1.82259	0.846005	6.03291
0.10472	0.837758	-5.01876	-1.93511	0.938303	6.01556
0.10472	0.942478	-4.97803	-2.0478	1.0285	5.99733
0.10472	1.0472	-4.93416	-2.16039	1.11618	5.97837
0.10472	1.15192	-4.8872	-2.27263	1.20096	5.95887
0.10472	1.25664	-4.83719	-2.38431	1.28248	5.93902
0.10472	1.36136	-4.78416	-2.49526	1.3604	5.91902
0.10472	1.46608	-4.72816	-2.60531	1.43436	5.89911
0.10472	1.5708	-4.66924	-2.7143	1.50404	5.8795
0.10472	1.67552	-4.60747	-2.82209	1.56912	5.86045
0.10472	1.78024	-4.5429	-2.92855	1.62926	5.84219
0.10472	1.88496	-4.47561	-3.03352	1.68417	5.82497
0.10472	1.98968	-4.40569	-3.13687	1.73353	5.80903
0.10472	2.0944	-4.33325	-3.23843	1.77706	5.79462
0.10472	2.19911	-4.25845	-3.338	1.8145	5.78195
0.10472	2.30383	-4.18155	-3.43529	1.84562	5.77123
0.10472	2.40855	-4.10306	-3.52977	1.8702	5.76264
0.10472	2.51327	-4.02425	-3.62014	1.88807	5.75632
0.10472	2.61799	-3.94962	-3.70188	1.89912	5.75238
0.10472	2.72271	-3.90326	-3.7509	1.90326	5.7509
0.10472	2.82743	-3.93682	-3.71555	1.90047	5.7519
0.10472	2.93215	-4.00915	-3.63697	1.89076	5.75536
0.10472	3.03687	-4.08771	-3.54771	1.8742	5.76123
0.10472	3.14159	-4.1664	-3.4539	1.85091	5.76939
0.10472	3.24631	-4.24366	-3.3571	1.82105	5.77971
