#1:t	2:m	3:min_gap
0.88	0.1	0.0947243
0.9	0.1	0.0531494
0.92	0.1	0.0119709
0.94	0.1	0.029214
0.96	0.1	0.0446505
0.98	0.1	0.0129506
1	0.1	0.00136332
1.02	0.1	0.0095467
1.04	0.1	0.0393282
1.06	0.1	0.0307778
1.08	0.1	0.00855918
1.1	0.1	0.0472951
1.12	0.1	0.0859227
1.14	0.1	0.124328
1.16	0.1	0.16251
1.18	0.1	0.20047
1.2	0.1	0.238214
1.22	0.1	0.275746
1.24	0.1	0.313069
1.26	0.1	0.350188
1.28	0.1	0.387106
1.3	0.1	0.423829
1.32	0.1	0.460359
1.34	0.1	0.496701
1.36	0.1	0.532859
1.38	0.1	0.568836
1.4	0.1	0.604637
1.42	0.1	0.640264
1.44	0.1	0.675721
1.46	0.1	0.711012
1.48	0.1	0.74614
1.5	0.1	0.781109
1.52	0.1	0.815921
1.54	0.1	0.85058
1.56	0.1	0.88509
1.58	0.1	0.919452
1.6	0.1	0.953671
1.62	0.1	0.987748
1.64	0.1	1.02169
1.66	0.1	1.05549
1.68	0.1	1.08916
1.7	0.1	1.12271
1.72	0.1	1.15612
1.74	0.1	1.18941
1.76	0.1	1.22258
1.78	0.1	1.25563
1.8	0.1	1.28856
1.82	0.1	1.32137
1.84	0.1	1.35407
1.86	0.1	1.38667
1.88	0.1	1.41915
1.9	0.1	1.45153
1.92	0.1	1.4838
1.94	0.1	1.51598
1.96	0.1	1.54805
1.98	0.1	1.58002
2	0.1	1.6119
2.02	0.1	1.64368
2.04	0.1	1.67537
2.06	0.1	1.70698
2.08	0.1	1.73849
2.1	0.1	1.76991
2.12	0.1	1.80125
2.14	0.1	1.83251
2.16	0.1	1.86368
2.18	0.1	1.84974
2.2	0.1	1.82438
2.22	0.1	1.79903
2.24	0.1	1.77367
2.26	0.1	1.74832
2.28	0.1	1.72296
2.3	0.1	1.69761
2.32	0.1	1.67225
2.34	0.1	1.6469
2.36	0.1	1.62154
2.38	0.1	1.59619
2.4	0.1	1.57084
2.42	0.1	1.54548
2.44	0.1	1.52013
2.46	0.1	1.49478
2.48	0.1	1.46943
2.5	0.1	1.44408
2.52	0.1	1.41872
2.54	0.1	1.39337
2.56	0.1	1.36802
2.58	0.1	1.34267
2.6	0.1	1.31733
2.62	0.1	1.29198
2.64	0.1	1.26663
2.66	0.1	1.24128
2.68	0.1	1.21594
2.7	0.1	1.19059
2.72	0.1	1.16524
2.74	0.1	1.1399
2.76	0.1	1.11456
2.78	0.1	1.08921
2.8	0.1	1.06387
2.82	0.1	1.03853
2.84	0.1	1.01319
2.86	0.1	0.987856
2.88	0.1	0.96252
2.9	0.1	0.937185
2.92	0.1	0.911851
2.94	0.1	0.886519
2.96	0.1	0.861189
2.98	0.1	0.835861
3	0.1	0.810536
3.02	0.1	0.785213
3.04	0.1	0.759892
3.06	0.1	0.734575
3.08	0.1	0.70926
3.1	0.1	0.68395
3.12	0.1	0.658643
3.14	0.1	0.633341
3.16	0.1	0.608044
3.18	0.1	0.582753
3.2	0.1	0.557469
3.22	0.1	0.532192
3.24	0.1	0.506923
3.26	0.1	0.481665
3.28	0.1	0.456418
3.3	0.1	0.431185
3.32	0.1	0.405968
3.34	0.1	0.380771
3.36	0.1	0.355597
3.38	0.1	0.330453
3.4	0.1	0.305344
3.42	0.1	0.280282
3.44	0.1	0.255279
3.46	0.1	0.230355
3.48	0.1	0.205538
3.5	0.1	0.180873
3.52	0.1	0.156431
3.54	0.1	0.132337
3.56	0.1	0.108822
3.58	0.1	0.0863583
3.6	0.1	0.0660299
3.62	0.1	0.0504851
3.64	0.1	0.0449905
3.66	0.1	0.052784
3.68	0.1	0.0653795
3.7	0.1	0.0400278
3.72	0.1	0.0147061
3.74	0.1	0.010799
3.76	0.1	0.0361009
3.78	0.1	0.0614512
3.8	0.1	0.0558884
3.82	0.1	0.0461629
3.84	0.1	0.0492412
3.86	0.1	0.0632816
3.88	0.1	0.0828891
3.9	0.1	0.10499
3.92	0.1	0.128301
3.94	0.1	0.152269
3.96	0.1	0.176626
3.98	0.1	0.20123

0	0.2	1.19866
0.02	0.2	1.10428
0.04	0.2	1.00991
0.06	0.2	0.915536
0.08	0.2	0.82117
0.1	0.2	0.726813
0.12	0.2	0.632469
0.14	0.2	0.538144
0.16	0.2	0.44385
0.18	0.2	0.349564
0.2	0.2	0.255262
0.22	0.2	0.161025
0.24	0.2	0.0671157
0.26	0.2	0.0273072
0.28	0.2	0.00736753
0.3	0.2	0.0884192
0.32	0.2	0.182382
0.34	0.2	0.276252
0.36	0.2	0.369918
0.38	0.2	0.463346
0.4	0.2	0.556394
0.42	0.2	0.648831
0.44	0.2	0.740198
0.46	0.2	0.805527
0.48	0.2	0.8227
0.5	0.2	0.791313
0.52	0.2	0.747183
0.54	0.2	0.700822
0.56	0.2	0.654
0.58	0.2	0.607219
0.6	0.2	0.560618
0.62	0.2	0.514329
0.64	0.2	0.468306
0.66	0.2	0.422682
0.68	0.2	0.377347
0.7	0.2	0.33244
0.72	0.2	0.287874
0.74	0.2	0.243575
0.76	0.2	0.199664
0.78	0.2	0.156154
0.8	0.2	0.113089
0.82	0.2	0.070637
0.84	0.2	0.0288798
0.86	0.2	0.0163185
0.88	0.2	0.0568755
0.9	0.2	0.0982823
0.92	0.2	0.0946673
0.94	0.2	0.0593411
0.96	0.2	0.0292776
0.98	0.2	0.00984027
1	0.2	0.00545064
1.02	0.2	0.00170015
1.04	0.2	0.0156671
1.06	0.2	0.0423322
1.08	0.2	0.0734078
1.1	0.2	0.101608
1.12	0.2	0.0630741
1.14	0.2	0.0251612
1.16	0.2	0.0153788
1.18	0.2	0.0523283
1.2	0.2	0.089942
1.22	0.2	0.127449
1.24	0.2	0.164784
1.26	0.2	0.201932
1.28	0.2	0.238891
1.3	0.2	0.275661
1.32	0.2	0.312246
1.34	0.2	0.348648
1.36	0.2	0.384869
1.38	0.2	0.420914
1.4	0.2	0.456785
1.42	0.2	0.492486
1.44	0.2	0.527991
1.46	0.2	0.563331
1.48	0.2	0.598515
1.5	0.2	0.633545
1.52	0.2	0.668423
1.54	0.2	0.703153
1.56	0.2	0.737736
1.58	0.2	0.772176
1.6	0.2	0.806474
1.62	0.2	0.840635
1.64	0.2	0.87466
1.66	0.2	0.908552
1.68	0.2	0.942314
1.7	0.2	0.975947
1.72	0.2	1.00946
1.74	0.2	1.04284
1.76	0.2	1.0761
1.78	0.2	1.10925
1.8	0.2	1.14228
1.82	0.2	1.1752
1.84	0.2	1.208
1.86	0.2	1.24069
1.88	0.2	1.27328
1.9	0.2	1.30576
1.92	0.2	1.33814
1.94	0.2	1.37042
1.96	0.2	1.40259
1.98	0.2	1.43467
2	0.2	1.46666
2.02	0.2	1.49855
2.04	0.2	1.53035
2.06	0.2	1.56206
2.08	0.2	1.59367
2.1	0.2	1.62521
2.12	0.2	1.65665
2.14	0.2	1.68802
2.16	0.2	1.7193
2.18	0.2	1.7318
2.2	0.2	1.70645
2.22	0.2	1.68111
2.24	0.2	1.65576
2.26	0.2	1.63042
2.28	0.2	1.60508
2.3	0.2	1.57973
2.32	0.2	1.55439
2.34	0.2	1.52906
2.36	0.2	1.50372
2.38	0.2	1.47838
2.4	0.2	1.45305
2.42	0.2	1.42771
2.44	0.2	1.40238
2.46	0.2	1.37702
2.48	0.2	1.35166
2.5	0.2	1.32629
2.52	0.2	1.30093
2.54	0.2	1.27556
2.56	0.2	1.2502
2.58	0.2	1.22483
2.6	0.2	1.19947
2.62	0.2	1.1741
2.64	0.2	1.14874
2.66	0.2	1.12338
2.68	0.2	1.09801
2.7	0.2	1.07265
2.72	0.2	1.04728
2.74	0.2	1.02192
2.76	0.2	0.996553
2.78	0.2	0.971188
2.8	0.2	0.945824
2.82	0.2	0.920459
2.84	0.2	0.895094
2.86	0.2	0.86973
2.88	0.2	0.844365
2.9	0.2	0.819001
2.92	0.2	0.793636
2.94	0.2	0.768272
2.96	0.2	0.742908
2.98	0.2	0.717543
3	0.2	0.692179
3.02	0.2	0.666815
3.04	0.2	0.64145
3.06	0.2	0.616086
3.08	0.2	0.590722
3.1	0.2	0.565358
3.12	0.2	0.539994
3.14	0.2	0.51463
3.16	0.2	0.489266
3.18	0.2	0.463902
3.2	0.2	0.438539
3.22	0.2	0.413175
3.24	0.2	0.387812
3.26	0.2	0.362449
3.28	0.2	0.337086
3.3	0.2	0.311724
3.32	0.2	0.286361
3.34	0.2	0.261
3.36	0.2	0.235639
3.38	0.2	0.210279
3.4	0.2	0.18492
3.42	0.2	0.159564
3.44	0.2	0.13421
3.46	0.2	0.108861
3.48	0.2	0.0835226
3.5	0.2	0.0582065
3.52	0.2	0.0329651
3.54	0.2	0.00849279
3.56	0.2	0.0185551
3.58	0.2	0.0436255
3.6	0.2	0.0689116
3.62	0.2	0.0942399
3.64	0.2	0.114229
3.66	0.2	0.0888738
3.68	0.2	0.0635252
3.7	0.2	0.0381978
3.72	0.2	0.0130163
3.74	0.2	0.0129048
3.76	0.2	0.0380844
3.78	0.2	0.0634121
3.8	0.2	0.0887613
3.82	0.2	0.114118
3.84	0.2	0.100168
3.86	0.2	0.0748947
3.88	0.2	0.0497149
3.9	0.2	0.024912
3.92	0.2	0.00750478
3.94	0.2	0.0279055
3.96	0.2	0.0527995
3.98	0.2	0.077997

0	0.3	1.15911
0.02	0.3	1.06507
0.04	0.3	0.971038
0.06	0.3	0.877016
0.08	0.3	0.78301
0.1	0.3	0.689026
0.12	0.3	0.595076
0.14	0.3	0.501147
0.16	0.3	0.407229
0.18	0.3	0.313382
0.2	0.3	0.21969
0.22	0.3	0.125921
0.24	0.3	0.0328771
0.26	0.3	0.0565884
0.28	0.3	0.0340604
0.3	0.3	0.0567635
0.32	0.3	0.149996
0.34	0.3	0.242967
0.36	0.3	0.335626
0.38	0.3	0.427755
0.4	0.3	0.519127
0.42	0.3	0.609411
0.44	0.3	0.663837
0.46	0.3	0.688718
0.48	0.3	0.674227
0.5	0.3	0.637107
0.52	0.3	0.593343
0.54	0.3	0.547582
0.56	0.3	0.5012
0.58	0.3	0.454695
0.6	0.3	0.408266
0.62	0.3	0.362071
0.64	0.3	0.316174
0.66	0.3	0.270502
0.68	0.3	0.225328
0.7	0.3	0.180267
0.72	0.3	0.135736
0.74	0.3	0.0917241
0.76	0.3	0.0476205
0.78	0.3	0.00398317
0.8	0.3	0.03952
0.82	0.3	0.0825399
0.84	0.3	0.125077
0.86	0.3	0.167071
0.88	0.3	0.150071
0.9	0.3	0.112942
0.92	0.3	0.0787022
0.94	0.3	0.0489705
0.96	0.3	0.0264599
0.98	0.3	0.014468
1	0.3	0.0122543
1.02	0.3	0.010535
1.04	0.3	0.000562542
1.06	0.3	0.0184097
1.08	0.3	0.0432815
1.1	0.3	0.0717449
1.12	0.3	0.102348
1.14	0.3	0.134269
1.16	0.3	0.134548
1.18	0.3	0.0968147
1.2	0.3	0.059658
1.22	0.3	0.0247749
1.24	0.3	0.0221631
1.26	0.3	0.0560952
1.28	0.3	0.092087
1.3	0.3	0.128397
1.32	0.3	0.164755
1.34	0.3	0.201036
1.36	0.3	0.237196
1.38	0.3	0.273215
1.4	0.3	0.309084
1.42	0.3	0.344801
1.44	0.3	0.380363
1.46	0.3	0.415772
1.48	0.3	0.451028
1.5	0.3	0.486133
1.52	0.3	0.52109
1.54	0.3	0.5559
1.56	0.3	0.590567
1.58	0.3	0.625091
1.6	0.3	0.659477
1.62	0.3	0.693726
1.64	0.3	0.727841
1.66	0.3	0.761824
1.68	0.3	0.795678
1.7	0.3	0.829406
1.72	0.3	0.863008
1.74	0.3	0.896489
1.76	0.3	0.929849
1.78	0.3	0.963092
1.8	0.3	0.99622
1.82	0.3	1.02923
1.84	0.3	1.06214
1.86	0.3	1.09493
1.88	0.3	1.12762
1.9	0.3	1.1602
1.92	0.3	1.19268
1.94	0.3	1.22506
1.96	0.3	1.25734
1.98	0.3	1.28952
2	0.3	1.32161
2.02	0.3	1.3536
2.04	0.3	1.3855
2.06	0.3	1.41731
